t_us,seq,ax,ay,az,gx,gy,gz,t_imu_us,t_serial_us,missed
13821739,10,0.8247,0.2310,-0.3052,-143.0664,78.3081,94.2383,482,913,0
13826737,11,0.8301,0.2256,-0.2866,-135.2539,79.1016,95.7031,491,910,0
13831756,12,0.8228,0.2290,-0.2891,-127.3804,80.8716,98.9380,465,907,0
13836741,13,0.8042,0.2441,-0.3154,-118.6523,82.3364,101.3184,465,946,0
13841733,14,0.8359,0.3354,-0.3096,-101.9897,79.6509,99.4873,482,937,0
13846742,15,0.7827,0.2153,-0.3540,-69.9463,64.0869,88.9282,479,917,0
13851733,16,0.6992,0.2388,-0.4189,-64.8193,49.9268,89.5386,482,935,0
13856736,17,0.6909,0.2842,-0.4785,-62.5610,45.7153,93.7500,481,938,0
13861740,18,0.7192,0.3247,-0.5293,-63.7207,46.7529,95.2148,481,952,0
13866735,19,0.7266,0.3477,-0.5527,-61.8896,46.1426,92.9565,481,995,0
13871736,20,0.7061,0.3472,-0.5576,-52.4292,36.4990,86.9751,466,952,0
13876737,21,0.6846,0.3491,-0.5435,-43.0908,25.5737,81.1157,467,861,0
13881748,22,0.6572,0.3472,-0.5483,-34.1797,18.8599,76.2329,464,907,0
13886738,23,0.6475,0.3442,-0.5654,-27.7710,15.9302,72.6318,482,916,0
13891737,24,0.6523,0.3481,-0.5884,-20.1416,14.2212,69.2749,509,898,0
13896737,25,0.5547,0.3081,-0.6191,-11.8408,14.4653,63.4155,472,945,0
13901741,26,0.3813,0.2803,-0.5767,-21.1792,57.3730,54.9316,492,926,0
13906740,27,0.4707,0.3188,-0.5068,-36.0107,120.8496,50.2319,484,921,0
13911738,28,0.6680,0.3320,-0.5142,-29.2358,119.1406,50.4761,471,919,0
13916736,29,0.7036,0.3462,-0.5308,-22.2778,81.2378,45.8984,471,897,0
13921734,30,0.6382,0.3892,-0.5078,-27.4658,64.0869,36.8042,481,922,0
13926742,31,0.6079,0.4077,-0.5195,-31.6162,72.6318,29.1748,489,907,0
13931740,32,0.6323,0.4048,-0.5688,-29.6631,81.1768,26.0620,485,922,0
13936739,33,0.6509,0.4019,-0.6162,-23.2544,77.4536,25.8179,492,916,0
13941752,34,0.6445,0.3931,-0.6201,-16.3574,71.2891,26.2451,464,911,0
13946736,35,0.6436,0.3789,-0.6021,-11.9629,69.9463,26.4282,465,936,0
13951735,36,0.6421,0.3672,-0.5781,-9.1553,70.3125,27.2827,482,943,0
13956739,37,0.6343,0.3677,-0.5483,-7.3242,69.8853,30.7007,471,922,0
13961736,38,0.6104,0.3726,-0.5366,-6.5918,70.0073,34.7290,483,884,0
13966739,39,0.6006,0.3882,-0.5454,-7.7515,72.2046,38.9404,478,914,0
13971742,40,0.6108,0.3711,-0.5542,-8.6060,75.2563,41.7480,478,952,0
13976742,41,0.6167,0.3232,-0.5625,-9.1553,76.9043,45.2270,476,885,0
13981734,42,0.6084,0.2930,-0.5688,-10.5591,78.1860,51.6357,477,886,0
13986733,43,0.5889,0.2944,-0.5869,-12.3901,80.3223,59.0210,468,866,0
13991752,44,0.5796,0.2866,-0.6113,-13.7939,82.6416,65.9790,467,929,0
13996741,45,0.5625,0.2959,-0.6396,-16.1743,84.1064,82.3364,482,903,0
14001737,46,0.5312,0.3618,-0.6802,-13.6108,83.7402,88.6230,510,900,0
14006738,47,0.4956,0.4375,-0.7583,-4.7607,82.7026,90.2100,482,1027,0
14011738,48,0.4746,0.4878,-0.8340,8.1177,79.9561,87.2803,463,905,0
14016739,49,0.4551,0.5093,-0.8789,22.1558,75.1953,82.7637,466,826,0
14021733,50,0.4351,0.5117,-0.8960,35.7056,67.9932,78.4302,474,892,0
14026733,51,0.4219,0.5142,-0.8774,45.5933,59.6313,74.9512,487,868,0
14031741,52,0.4243,0.5435,-0.8530,52.2461,52.1851,71.9604,471,915,0
14036733,53,0.4556,0.5757,-0.8452,58.4717,46.0815,68.8477,474,883,0
14041734,54,0.4727,0.5962,-0.8643,65.2466,40.7104,65.0635,484,914,0
14046738,55,0.4531,0.5962,-0.8740,72.3267,34.4238,60.7910,491,903,0
14051733,56,0.4380,0.5801,-0.8652,79.5898,26.7334,57.3730,465,937,0
14056738,57,0.4448,0.5391,-0.8525,87.0972,19.6533,55.2978,482,940,0
14061739,58,0.4580,0.5112,-0.8398,94.8486,13.4888,54.0161,464,917,0
14066734,59,0.4683,0.4883,-0.8237,104.2480,7.2632,52.8564,483,957,0
14071739,60,0.4399,0.4785,-0.7910,114.8071,0.9155,52.2461,464,930,0
14076740,61,0.4458,0.4795,-0.7456,125.4272,-5.1880,51.3306,474,909,0
14081735,62,0.4722,0.4951,-0.6953,133.4839,-9.3384,50.6592,474,975,0
14086741,63,0.4868,0.5220,-0.6401,139.7705,-11.0474,51.1475,481,899,0
14091740,64,0.4873,0.5312,-0.5747,142.8223,-11.9629,51.0254,480,908,0
14096737,65,0.4878,0.5220,-0.5015,141.6016,-11.5967,51.1475,464,904,0
14101733,66,0.4790,0.5005,-0.4424,136.1694,-9.0942,52.0019,483,894,0
14106741,67,0.4702,0.4839,-0.4365,126.5259,-5.2490,55.7861,508,880,0
14111741,68,0.4609,0.4937,-0.4761,114.4409,-1.4038,63.2324,464,912,0
14116739,69,0.4365,0.5522,-0.5454,104.3701,1.5869,71.8384,470,936,0
14121741,70,0.4204,0.6079,-0.6172,100.4639,1.2817,78.3081,492,906,0
14126739,71,0.4004,0.6514,-0.6670,100.8911,-2.8076,81.0547,489,896,0
14131736,72,0.3872,0.7007,-0.6997,105.2856,-8.6060,79.9561,477,871,0
14136738,73,0.3857,0.7339,-0.7104,114.8071,-13.7939,77.1484,490,899,0
14141736,74,0.4023,0.7656,-0.6812,124.4507,-18.6768,72.2046,477,919,0
14146733,75,0.4199,0.7988,-0.6450,132.8735,-22.8882,65.7349,486,880,0
14151737,76,0.4263,0.8135,-0.6191,139.2822,-26.1841,59.5093,486,917,0
14156755,77,0.4126,0.8140,-0.5884,140.8081,-28.6865,53.8940,465,889,0
14161742,78,0.3901,0.8037,-0.5547,139.0381,-30.5176,49.3774,464,920,0
14166741,79,0.3867,0.7798,-0.5273,137.6343,-32.2266,47.7905,482,943,0
14171734,80,0.3823,0.7617,-0.5146,136.1694,-34.6680,47.7295,472,946,0
14176740,81,0.3647,0.7651,-0.4946,134.3994,-36.6821,46.5698,464,940,0
14181735,82,0.3599,0.7617,-0.4673,134.3384,-38.3911,44.2505,481,916,0
14186741,83,0.3809,0.7817,-0.4307,134.7046,-39.7339,41.9922,466,975,0
14191736,84,0.4087,0.7959,-0.3838,136.5967,-39.9170,39.4287,464,924,0
14196741,85,0.4272,0.8140,-0.3267,139.8315,-38.7573,35.7056,472,932,0
14201734,86,0.4531,0.8579,-0.2983,144.5312,-35.7666,31.0669,473,864,0
14206733,87,0.4561,0.8867,-0.3184,152.5879,-31.3721,24.8413,477,910,0
14211733,88,0.4434,0.9033,-0.3359,159.4238,-27.3437,16.6626,482,899,0
14216736,89,0.4321,0.9126,-0.3125,163.3301,-25.9399,9.8267,492,916,0
14221735,90,0.4209,0.9058,-0.2568,164.6118,-26.6113,6.0425,472,936,0
14226737,91,0.4180,0.9028,-0.2056,162.8418,-28.6865,5.4321,492,935,0
14231740,92,0.4160,0.9287,-0.1890,156.8604,-30.6396,7.1411,490,842,0
14236738,93,0.4082,0.9771,-0.1968,146.4233,-31.1890,7.2632,474,875,0
14241740,94,0.4077,1.0190,-0.2256,133.9722,-30.7007,5.9814,483,900,0
14246739,95,0.4072,1.0386,-0.2607,121.8262,-29.9072,4.5776,489,890,0
14251733,96,0.4023,1.0205,-0.2876,110.4736,-30.3345,4.1504,491,910,0
14256735,97,0.4077,0.9775,-0.3013,101.3184,-32.7148,6.4697,480,874,0
14261744,98,0.4082,0.9194,-0.3154,93.7500,-35.1562,11.4136,492,874,0
14266737,99,0.4004,0.8599,-0.3379,87.5244,-37.4756,18.4937,464,954,0
14271739,100,0.3833,0.8325,-0.3530,82.2143,-39.6729,27.7100,482,902,0
14276735,101,0.3774,0.8403,-0.3472,80.0171,-42.5415,36.0718,464,948,0
14281738,102,0.3730,0.8848,-0.3467,82.7637,-46.0205,40.6494,482,892,0
14286738,103,0.3677,0.9355,-0.3525,91.2476,-49.0112,39.8560,470,937,0
