t_us,seq,ax,ay,az,gx,gy,gz,valid,t_imu_us,t_serial_us,missed
11003386,10,0.0020,0.0376,1.0200,-0.3052,-0.0610,-0.1221,1,497,798,0
11008388,11,0.0015,0.0366,1.0190,-0.3052,0.0610,-0.1831,1,496,839,0
11013383,12,0.0015,0.0371,1.0181,-0.3052,0.0000,-0.1831,1,508,848,0
11018387,13,0.0010,0.0386,1.0186,-0.1831,-0.0610,-0.1221,1,464,819,0
11023381,14,0.0015,0.0391,1.0190,-0.1831,0.0610,-0.1221,1,464,891,0
11028389,15,0.0024,0.0391,1.0200,-0.2441,0.0610,-0.1831,1,464,859,0
11033388,16,0.0039,0.0391,1.0200,-0.1831,0.0000,-0.1221,1,463,869,0
11038386,17,0.0034,0.0376,1.0200,-0.2441,-0.0610,-0.1221,1,463,849,0
11043384,18,0.0034,0.0371,1.0200,-0.3052,0.0000,-0.0610,1,463,896,0
11048381,19,0.0029,0.0381,1.0190,-0.1831,0.0000,-0.1221,1,463,821,0
11053387,20,0.0020,0.0386,1.0181,-0.1221,-0.0610,-0.1221,1,464,849,0
11058383,21,0.0024,0.0381,1.0181,-0.2441,-0.0610,-0.1831,1,464,857,0
11063392,22,0.0029,0.0376,1.0195,-0.1831,0.0000,-0.1221,1,464,897,0
11068383,23,0.0020,0.0376,1.0210,-0.1221,0.0000,-0.0610,1,463,850,0
11073382,24,0.0024,0.0371,1.0215,-0.3052,0.0000,-0.1831,1,464,813,0
11078382,25,0.0034,0.0371,1.0205,-0.3052,0.0000,-0.1831,1,464,710,0
11083386,26,0.0044,0.0371,1.0195,-0.1831,-0.0610,-0.1831,1,503,749,0
11088381,27,0.0034,0.0376,1.0181,-0.2441,-0.0610,-0.1831,1,465,796,0
11093386,28,0.0029,0.0381,1.0176,-0.2441,-0.1831,0.0000,1,489,903,0
11098382,29,0.0029,0.0381,1.0186,-0.2441,0.0610,-0.1221,1,507,821,0
11103387,30,0.0029,0.0376,1.0195,-0.2441,0.0610,-0.1221,1,495,860,0
11108383,31,0.0029,0.0371,1.0200,-0.1221,-0.0610,-0.1831,1,491,791,0
11113388,32,0.0029,0.0366,1.0205,-0.3052,0.0000,-0.1831,1,481,820,0
11118387,33,0.0020,0.0371,1.0205,-0.3052,-0.0610,-0.1221,1,493,776,0
11123386,34,0.0010,0.0376,1.0200,-0.1831,0.0000,-0.0610,1,508,843,0
11128387,35,0.0015,0.0366,1.0205,-0.3052,0.0000,-0.1221,1,464,844,0
11133382,36,0.0015,0.0366,1.0190,-0.3052,0.0000,-0.1831,1,464,846,0
11138388,37,0.0010,0.0376,1.0186,-0.1831,-0.0610,-0.0610,1,464,821,0
11143381,38,0.0010,0.0386,1.0190,-0.1831,-0.0610,-0.0610,1,463,864,0
11148384,39,0.0020,0.0386,1.0200,-0.2441,0.0000,-0.0610,1,464,864,0
11153382,40,0.0015,0.0376,1.0200,-0.1831,0.0610,-0.1221,1,464,849,0
11158384,41,0.0015,0.0376,1.0200,-0.3052,0.0000,-0.1831,1,463,892,0
11163386,42,0.0020,0.0381,1.0205,-0.2441,-0.1221,-0.1221,1,464,817,0
11168388,43,0.0024,0.0386,1.0200,-0.1831,0.0000,-0.1831,1,464,863,0
11173390,44,0.0020,0.0371,1.0190,-0.2441,0.0000,-0.1831,1,464,854,0
