t_us,seq,ax,ay,az,gx,gy,gz,valid,work_time_us,missed
12967865, 61, -0.43, 0.39, 1.12, 52.12, 38.39, -10.31, 1, 14570, 345
12982951, 62, -0.45, 0.44, 1.01, -37.11, 13.06, -21.55, 1, 14553, 347
12997880, 63, -0.42, 0.56, 0.73, -33.02, -37.90, -38.45, 1, 14608, 349
13012829, 64, -0.36, 0.64, 0.69, -1.34, -51.51, -33.63, 1, 14674, 351
13027901, 65, -0.29, 0.72, 0.77, 60.61, -54.26, 2.08, 1, 14721, 353
13042963, 66, -0.26, 0.65, 0.84, 101.81, -41.02, 14.28, 1, 14614, 355
13057979, 67, -0.24, 0.56, 1.00, 175.17, 0.98, 26.37, 1, 14784, 357
13073166, 68, -0.23, 0.32, 1.07, 151.67, 22.16, 24.84, 1, 14506, 359
13088125, 69, -0.21, 0.24, 0.91, 57.31, 42.30, -17.33, 1, 14653, 361
13103267, 70, -0.24, 0.24, 0.71, 28.44, 45.04, -41.63, 1, 14428, 363
13118067, 71, -0.29, 0.31, 0.74, -16.42, 48.03, -62.07, 1, 14635, 365
13133088, 72, -0.57, 0.74, 0.83, -22.28, 48.65, -48.22, 1, 14605, 367
13148064, 73, -0.69, 0.82, 0.92, 41.02, 31.37, 3.91, 1, 14329, 369
13162826, 74, -0.34, 0.36, 0.88, 57.74, 23.80, 20.26, 1, 14367, 371
13177599, 75, -0.22, 0.18, 0.81, 10.80, 33.26, 4.46, 1, 14476, 373
13192417, 76, -0.24, 0.32, 0.86, -8.79, 45.72, -11.66, 1, 14603, 375
13207450, 77, -0.24, 0.41, 0.92, 15.62, 73.12, -15.32, 1, 14981, 377
13222836, 78, -0.19, 0.37, 0.85, 50.23, 87.59, -12.51, 1, 14387, 379
13237626, 79, -0.14, 0.26, 0.80, 92.22, 101.01, -27.34, 1, 14405, 381
13252448, 80, -0.11, 0.21, 0.99, 82.03, 85.63, -31.31, 1, 14737, 383
13267527, 81, -0.27, 0.19, 0.97, 54.20, 36.32, -31.98, 1, 14862, 385
13282876, 82, -0.30, 0.28, 0.91, 69.95, 17.88, -44.25, 1, 14661, 387
13298017, 83, -0.16, 0.46, 1.05, 97.72, 32.04, -73.61, 1, 14732, 389
13313253, 84, -0.16, 0.46, 1.05, 97.72, 32.04, -73.61, 0, 6069, 391
13319691, 85, -0.16, 0.46, 1.05, 97.72, 32.04, -73.61, 0, 6069, 392
13326280, 86, -0.09, 0.54, 1.32, 54.93, 65.19, -62.93, 1, 14638, 392
13341405, 87, -0.17, 0.41, 1.33, 52.86, 56.76, -62.99, 1, 14745, 394
13356661, 88, -0.14, 0.36, 1.33, 83.01, 37.11, -55.18, 1, 15018, 396
13372050, 89, -0.03, 0.31, 1.33, 83.31, 33.26, -41.38, 1, 14745, 398
13387201, 90, -0.01, 0.28, 1.33, 32.29, 24.29, 0.98, 1, 14714, 400
13402344, 91, -0.08, 0.17, 1.16, 7.69, 17.82, 10.80, 1, 14743, 402
13417456, 92, -0.07, 0.17, 1.05, 8.97, 10.13, -4.82, 1, 14688, 404
13432585, 93, -0.05, 0.31, 0.96, 17.21, 15.14, -19.04, 1, 14781, 406
13447730, 94, 0.00, 0.32, 0.90, -6.77, 9.64, -68.18, 1, 14777, 408
