t_us,seq,ax,ay,az,gx,gy,gz,valid,t_imu,t_serial,missed
6634102,79,0.0596,0.0513,1.0068,-0.3662,-0.0610,-0.1221,1,10652,823,326
6645691,80,0.0597,0.0505,1.0087,-0.2441,-0.0610,-0.1221,1,10693,852,328
6657206,81,0.0597,0.0500,1.0089,-0.2441,-0.1221,-0.0610,1,10600,888,329
6668733,82,0.0593,0.0493,1.0084,-0.3052,-0.0610,-0.0610,1,10631,869,330
6680369,83,0.0590,0.0497,1.0078,-0.3052,-0.0610,-0.1221,1,10674,934,332
6691937,84,0.0597,0.0507,1.0068,-0.3052,-0.0610,-0.1221,1,10675,865,333
6703591,85,0.0604,0.0499,1.0055,-0.2441,-0.0610,-0.1831,1,10697,928,334
6715156,86,0.0598,0.0499,1.0055,-0.2441,-0.1221,-0.1831,1,10635,904,335
6726814,87,0.0598,0.0497,1.0076,-0.2441,-0.0610,-0.1831,1,10685,945,337
6738382,88,0.0601,0.0497,1.0089,-0.3052,-0.0610,-0.0610,1,10664,877,338
6750036,89,0.0594,0.0499,1.0079,-0.3052,-0.1221,-0.0610,1,10691,936,339
6761576,90,0.0592,0.0499,1.0068,-0.3052,-0.0610,-0.1221,1,10673,841,341
6773252,91,0.0586,0.0504,1.0055,-0.2441,-0.0610,-0.1221,1,10721,928,342
6784810,92,0.0588,0.0497,1.0057,-0.1831,0.0000,-0.0610,1,10633,870,343
6796342,93,0.0591,0.0498,1.0060,-0.1831,-0.0610,-0.1221,1,10679,825,345
6807976,94,0.0590,0.0509,1.0065,-0.1831,-0.0610,-0.1831,1,10708,898,346
6819571,95,0.0598,0.0510,1.0081,-0.1831,-0.0610,-0.1221,1,10670,898,347
6831244,96,0.0599,0.0502,1.0095,-0.1831,-0.1221,-0.0610,1,10775,870,349
6842887,97,0.0590,0.0479,1.0061,-0.2441,-0.1221,-0.0610,1,10684,932,350
6854449,98,0.0596,0.0488,1.0052,-0.1831,-0.1831,-0.0610,1,10635,871,351
6866098,99,0.0598,0.0502,1.0061,-0.1831,-0.1221,-0.1831,1,10672,948,353
6877657,100,0.0601,0.0507,1.0072,-0.1831,-0.0610,-0.1831,1,10655,876,354
6889309,101,0.0602,0.0502,1.0093,-0.1831,-0.0610,-0.1221,1,10687,939,355
6900870,102,0.0605,0.0486,1.0117,-0.2441,-0.0610,-0.1221,1,10668,864,357
6912521,103,0.0580,0.0494,1.0045,-0.3052,-0.1831,-0.1221,1,10689,933,358
6924085,104,0.0586,0.0498,1.0034,-0.3052,-0.1831,-0.1221,0,10636,874,359
6931413,105,0.0586,0.0498,1.0034,-0.3052,-0.1831,-0.1221,0,6465,834,360
6935228,106,0.0599,0.0499,1.0051,-0.2441,-0.0610,-0.1221,1,2194,749,360
6946837,107,0.0599,0.0503,1.0056,-0.2441,-0.2441,-0.0610,1,10650,933,361
6958377,108,0.0588,0.0500,1.0065,-0.1831,-0.1831,0.0000,1,10663,848,362
6969925,109,0.0585,0.0493,1.0094,-0.1221,0.0000,-0.0610,1,10693,828,363
6981507,110,0.0608,0.0488,1.0120,-0.2441,-0.0610,-0.0610,1,10705,850,365
6992987,111,0.0586,0.0513,1.0037,-0.4272,-0.3052,-0.0610,1,10598,854,366
7004518,112,0.0591,0.0499,1.0039,-0.3052,-0.1221,-0.1221,1,10635,867,367
7016125,113,0.0592,0.0487,1.0083,-0.1831,0.0000,-0.1221,1,10715,848,369
7027616,114,0.0593,0.0497,1.0131,-0.1831,0.0000,-0.1221,1,10641,821,370
7039096,115,0.0602,0.0500,1.0128,-0.3662,-0.1221,-0.1831,1,10626,827,371
