seq,t,dt,work,missed,,,
403,10248552,4998,9,0,,0,missed sum:
404,10253546,4994,9,0,,,
405,10258552,5006,8,0,,,
406,10263550,4998,9,0,,,
407,10268562,5012,9,0,,,
408,10273546,4984,9,0,,,
409,10278547,5001,9,0,,,
410,10283551,5004,9,0,,,
411,10288555,5004,9,0,,,
412,10293553,4998,8,0,,,
413,10298549,4996,9,0,,,
414,10303548,4999,9,0,,,
415,10308553,5005,9,0,,,
416,10313548,4995,9,0,,,
417,10318552,5004,9,0,,,
418,10323570,5018,8,0,,,
419,10328551,4981,9,0,,,
420,10333547,4996,8,0,,,
421,10338548,5001,8,0,,,
422,10343549,5001,9,0,,,
423,10348546,4997,9,0,,,
424,10353551,5005,9,0,,,
425,10358547,4996,9,0,,,
426,10363552,5005,9,0,,,
427,10368554,5002,9,0,,,
428,10373551,4997,26,0,,,
429,10378551,5000,9,0,,,
430,10383550,4999,9,0,,,
431,10388553,5003,9,0,,,
432,10393549,4996,9,0,,,
433,10398547,4998,9,0,,,
434,10403554,5007,9,0,,,
435,10408553,4999,9,0,,,
436,10413553,5000,9,0,,,
437,10418552,4999,8,0,,,
438,10423554,5002,9,0,,,
439,10428574,5020,8,0,,,
440,10433548,4974,9,0,,,
441,10438550,5002,9,0,,,
442,10443548,4998,9,0,,,
443,10448551,5003,8,0,,,
444,10453546,4995,8,0,,,
445,10458553,5007,9,0,,,
446,10463551,4998,9,0,,,
447,10468550,4999,8,0,,,
448,10473550,5000,9,0,,,
449,10478549,4999,9,0,,,
450,10483551,5002,8,0,,,
451,10488554,5003,9,0,,,
452,10493551,4997,9,0,,,
453,10498551,5000,9,0,,,
454,10503553,5002,9,0,,,
455,10508547,4994,9,0,,,
456,10513546,4999,9,0,,,
457,10518554,5008,9,0,,,
458,10523558,5004,9,0,,,
459,10528546,4988,9,0,,,
460,10533552,5006,9,0,,,
461,10538554,5002,9,0,,,
462,10543548,4994,9,0,,,
463,10548554,5006,8,0,,,
464,10553551,4997,9,0,,,
465,10558549,4998,8,0,,,
466,10563553,5004,9,0,,,
467,10568565,5012,9,0,,,
468,10573547,4982,9,0,,,
469,10578552,5005,9,0,,,
470,10583549,4997,9,0,,,
471,10588546,4997,9,0,,,
472,10593554,5008,8,0,,,
473,10598552,4998,9,0,,,
474,10603554,5002,9,0,,,
475,10608546,4992,9,0,,,
476,10613553,5007,9,0,,,
477,10618550,4997,9,0,,,
478,10623546,4996,8,0,,,
479,10628550,5004,9,0,,,
480,10633553,5003,8,0,,,
481,10638554,5001,9,0,,,
482,10643552,4998,9,0,,,
483,10648547,4995,9,0,,,
484,10653551,5004,9,0,,,
485,10658555,5004,9,0,,,
486,10663548,4993,9,0,,,
487,10668548,5000,9,0,,,
488,10673553,5005,9,0,,,
489,10678554,5001,9,0,,,
490,10683551,4997,9,0,,,
491,10688551,5000,9,0,,,
492,10693548,4997,9,0,,,
493,10698555,5007,9,0,,,
494,10703546,4991,9,0,,,
495,10708552,5006,9,0,,,
496,10713550,4998,9,0,,,
497,10718546,4996,8,0,,,
