t_us,seq,ax,ay,az,gx,gy,gz,valid,t_imu_us,t_serial_us,missed
68673322,1,-0.0332,-0.1655,1.0122,0.0000,0.2441,-0.1831,1,486,0,0
68676714,2,-0.0337,-0.1646,1.0107,0.0610,0.1831,-0.2441,1,483,0,0
68681712,3,-0.0347,-0.1641,1.0088,0.0000,0.1221,-0.2441,1,483,0,0
68687021,4,-0.0347,-0.1636,1.0093,-0.3052,0.1831,-0.3662,1,484,0,0
68692727,5,-0.0337,-0.1646,1.0098,-0.2441,0.0610,-0.3052,1,473,0,0
68696720,6,-0.0337,-0.1660,1.0107,-0.1831,-0.0610,-0.1221,1,478,0,0
68701719,7,-0.0342,-0.1655,1.0117,-0.0610,0.0000,-0.1221,1,480,0,0
68707792,8,-0.0342,-0.1641,1.0112,-0.0610,0.0610,-0.1221,1,478,0,0
68712044,9,-0.0342,-0.1655,1.0093,-0.1831,0.1831,-0.0610,1,483,0,0
68716718,10,-0.0347,-0.1680,1.0068,-0.1831,0.1221,-0.2441,1,480,0,0
68721715,11,-0.0337,-0.1680,1.0063,-0.0610,-0.0610,-0.1831,1,483,0,0
68727734,12,-0.0312,-0.1650,1.0122,-0.1221,0.2441,-0.0610,1,467,0,0
68733714,13,-0.0312,-0.1646,1.0137,-0.4272,0.3662,-0.2441,1,483,0,0
68739725,14,-0.0322,-0.1650,1.0122,-0.4272,0.2441,-0.1221,1,472,0,0
68742261,15,-0.0322,-0.1650,1.0122,-0.4272,0.2441,-0.1221,1,475,0,0
68748717,16,-0.0332,-0.1660,1.0088,-0.3662,0.3662,-0.1221,1,480,0,0
68754713,17,-0.0337,-0.1680,1.0098,-0.4883,0.2441,-0.1221,1,484,0,0
68760725,18,-0.0342,-0.1670,1.0112,-0.4272,0.3662,-0.1221,1,475,0,0
68766709,19,-0.0327,-0.1641,1.0112,-0.4272,0.4883,-0.1831,1,483,0,0
68768054,20,-0.0327,-0.1636,1.0112,-0.4883,0.3662,-0.0610,1,477,0,0
68778730,21,-0.0347,-0.1660,1.0112,-0.6104,0.5493,-0.0610,1,469,0,1
68785705,22,-0.0337,-0.1665,1.0127,-0.6104,0.5493,-0.0610,1,483,0,1
68787035,23,-0.0327,-0.1660,1.0132,-0.6714,0.4883,0.0000,1,484,0,1
68791718,24,-0.0337,-0.1655,1.0132,-0.6714,0.6104,-0.0610,1,480,0,1
68798051,25,-0.0342,-0.1660,1.0142,-0.8545,0.6104,-0.1221,1,504,0,1
68803514,26,-0.0337,-0.1670,1.0132,-0.9155,0.6714,-0.1221,1,471,0,1
68807872,27,-0.0337,-0.1680,1.0117,-0.9155,0.7324,0.0000,1,484,0,1
68812239,28,-0.0337,-0.1685,1.0107,-0.8545,0.7324,0.0000,1,495,0,1
68816713,29,-0.0342,-0.1680,1.0093,-0.8545,0.7935,-0.0610,1,483,0,1
68821716,30,-0.0342,-0.1680,1.0093,-0.7324,0.7324,-0.1221,1,481,0,1
68827711,31,-0.0342,-0.1675,1.0107,-0.7324,0.6714,-0.0610,1,483,0,1
68833080,32,-0.0332,-0.1665,1.0117,-0.7935,0.7324,-0.0610,1,465,0,1
68838727,33,-0.0327,-0.1660,1.0107,-0.7935,0.6714,0.0610,1,473,0,1
68841716,34,-0.0332,-0.1670,1.0093,-0.7324,0.4883,0.0000,1,482,0,1
68846717,35,-0.0337,-0.1685,1.0093,-0.6714,0.4883,-0.1221,1,480,0,1
68851717,36,-0.0347,-0.1680,1.0103,-0.4883,0.6104,-0.1221,1,479,0,1
68856716,37,-0.0352,-0.1675,1.0103,-0.4272,0.4272,-0.1221,1,481,0,1
68861713,38,-0.0356,-0.1685,1.0112,-0.4883,0.3662,-0.1831,1,484,0,1
68866721,39,-0.0352,-0.1689,1.0112,-0.2441,0.4272,-0.1221,1,468,0,1
68872724,40,-0.0352,-0.1704,1.0107,-0.1221,0.2441,-0.0610,1,476,0,1
68878093,41,-0.0347,-0.1694,1.0107,0.7324,0.0000,0.1221,1,465,0,1
68883405,42,-0.0347,-0.1655,1.0093,0.9766,0.2441,-0.2441,1,480,0,1
68888715,43,-0.0356,-0.1655,1.0073,-0.1831,0.0000,-0.1221,1,481,0,1
68894729,44,-0.0356,-0.1694,1.0073,-0.5493,0.1221,-0.3662,1,471,0,1
68897074,45,-0.0356,-0.1719,1.0088,0.4883,-0.0610,-0.1831,1,465,0,1
68901714,46,-0.0347,-0.1689,1.0098,0.5493,-0.1221,-0.1831,1,481,0,1
68906717,47,-0.0337,-0.1670,1.0098,-0.1831,0.1221,-0.4272,1,480,0,1
68912732,48,-0.0342,-0.1675,1.0107,0.2441,0.0610,-0.4272,1,468,0,1
68919707,49,-0.0347,-0.1685,1.0117,0.6104,0.1831,-0.1221,1,483,0,1
68922078,50,-0.0347,-0.1685,1.0117,0.6104,0.1831,-0.1221,1,465,0,1
68927716,51,-0.0342,-0.1670,1.0112,0.7324,0.0000,-0.0610,1,479,0,1
68934721,52,-0.0332,-0.1646,1.0112,0.1221,0.0610,-0.1221,1,477,0,1
68937054,53,-0.0332,-0.1646,1.0112,0.1221,0.0610,-0.1221,1,476,0,1
68942732,54,-0.0337,-0.1646,1.0132,0.3052,0.1221,-0.1221,1,467,0,1
68946713,55,-0.0332,-0.1655,1.0142,0.3052,0.1221,0.0000,1,483,0,1
68952710,56,-0.0327,-0.1665,1.0146,0.1221,0.1221,-0.1221,1,483,0,1
68958723,57,-0.0332,-0.1665,1.0142,0.1221,0.1831,-0.1831,1,476,0,1
68964092,58,-0.0332,-0.1660,1.0103,0.0610,0.1831,-0.1221,1,465,0,1
68966715,59,-0.0332,-0.1660,1.0103,0.0610,0.1831,-0.1221,1,480,0,1
68972730,60,-0.0327,-0.1660,1.0098,0.1221,0.3052,-0.1831,1,469,0,1
68978712,61,-0.0332,-0.1670,1.0112,-0.1831,0.2441,-0.2441,1,554,0,1
68983471,62,-0.0332,-0.1670,1.0112,-0.1831,0.2441,-0.2441,1,497,0,1
68989727,63,-0.0332,-0.1675,1.0107,-0.1221,0.3662,-0.3662,1,471,0,1
68995709,64,-0.0332,-0.1665,1.0112,-0.1221,0.4883,-0.4272,1,483,0,1
68997054,65,-0.0332,-0.1665,1.0112,-0.1221,0.4883,-0.4272,1,476,0,1
69003400,66,-0.0342,-0.1660,1.0107,-0.3662,0.4272,-0.4272,1,526,0,1
69006712,67,-0.0342,-0.1660,1.0107,-0.3662,0.4272,-0.4272,1,483,0,1
69012708,68,-0.0337,-0.1675,1.0122,-0.1831,0.5493,-0.3052,1,483,0,1
69016718,69,-0.0337,-0.1699,1.0132,0.3052,0.4883,-0.2441,1,478,0,1
69021714,70,-0.0332,-0.1685,1.0122,0.8545,0.1831,0.0000,1,481,0,1
69027722,71,-0.0327,-0.1646,1.0093,0.5493,0.3662,-0.3662,1,477,0,1
69033091,72,-0.0342,-0.1636,1.0122,-0.2441,0.2441,-0.1221,1,465,0,1
69038708,73,-0.0337,-0.1655,1.0122,-0.3662,0.4883,-0.1831,1,511,0,1
69041716,74,-0.0337,-0.1655,1.0122,-0.3662,0.4883,-0.1831,1,479,0,1
69047710,75,-0.0347,-0.1685,1.0098,-0.3052,0.3662,-0.1221,1,484,0,1
69052072,76,-0.0347,-0.1685,1.0098,-0.3052,0.3662,-0.1221,1,465,0,1
69056712,77,-0.0356,-0.1699,1.0078,-0.5493,0.3662,-0.1831,1,483,0,1
69061717,78,-0.0356,-0.1699,1.0078,-0.4272,0.2441,-0.2441,1,480,0,1
69066717,79,-0.0347,-0.1680,1.0088,-0.3052,0.2441,-0.1831,1,477,0,1
69073697,80,-0.0352,-0.1680,1.0107,-0.0610,0.1221,-0.1221,1,483,0,1
69080716,81,-0.0347,-0.1694,1.0098,-0.0610,0.0610,-0.1221,1,479,0,1
69082045,82,-0.0347,-0.1694,1.0098,-0.0610,0.0610,-0.1221,1,484,0,1
