t_host_s,Sequence,X_Position_m,Y_Position_m,Stance_Duration_ms,Quality,State_Flag,Missed_Ticks
16.214,0,-1.513,-0.008,0,0,0,8
17.379,1,-2.619,-0.075,0,0,0,8
18.877,2,-2.462,-1.242,0,0,0,8
20.076,3,-2.468,-2.568,0,0,0,8
21.216,4,-2.412,-3.704,0,0,0,8
22.417,5,-2.279,-4.672,0,0,0,9
23.618,6,-2.191,-5.692,0,0,0,9
25.130,7,-0.828,-5.665,0,0,0,9
26.256,8,0.114,-5.666,0,0,0,11
27.757,9,0.215,-4.361,0,0,0,14
28.957,10,0.298,-2.986,0,0,0,15
30.217,11,0.331,-1.602,0,0,0,15
31.476,12,0.422,-0.217,0,0,0,16
32.737,13,0.409,0.914,0,0,0,17
