seq,is_zvw,instant_quiet,qw,qx,qy,qz,pos_x,pos_y,pos_z
10.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
37.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
39.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
41.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
42.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
43.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
44.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
45.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
46.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
48.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
49.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
51.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
53.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
54.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
55.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
56.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
57.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
58.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
59.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
61.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
62.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
63.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
64.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
65.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
67.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
68.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
69.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
70.0,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
