seq,is_zvw,instant_quiet,qw,qx,qy,qz,pos_x,pos_y,pos_z
10,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
43,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
44,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
45,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
46,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
47,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
48,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
49,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
