seq,is_zvw,instant_quiet,qw,qx,qy,qz,pos_x,pos_y,pos_z
33167,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33168,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33169,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33170,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33171,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33172,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33173,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33174,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33175,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33176,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33177,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33178,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33179,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33180,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33181,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33182,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33183,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33184,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33185,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33186,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33187,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33188,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33189,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33190,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33191,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33192,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33193,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33194,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33195,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33196,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33197,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33198,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33199,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33200,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33201,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33202,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33203,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33204,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33205,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33206,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33207,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33208,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33209,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33210,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33211,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33212,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33213,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33214,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33215,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33216,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33217,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33218,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33219,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33220,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33221,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33222,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33223,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33224,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33225,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33226,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33227,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33228,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33229,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33230,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33231,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33232,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33233,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33234,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33235,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33236,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33237,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33238,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33239,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33240,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33241,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33242,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33243,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33244,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33245,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33246,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33247,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33248,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33249,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33250,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33251,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33252,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33253,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33254,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33255,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33256,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33257,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33258,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33259,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33260,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33261,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33262,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33263,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33264,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33265,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
33266,1,1,0.9998499,-0.0084645,0.0151157,0.000128,0.0,0.0,0.0
33267,1,1,0.9998499,-0.0084554,0.0151212,0.000125,0.0,0.0,0.0
33268,1,1,0.9998497,-0.008457,0.0151341,0.0001141,0.0,0.0,0.0
33269,1,1,0.9998496,-0.0084587,0.0151442,0.000106,0.0,0.0,0.0
33270,1,1,0.9998495,-0.0084551,0.0151495,0.0001003,0.0,0.0,0.0
33271,1,1,0.9998494,-0.008449,0.01516,9.47e-05,0.0,0.0,0.0
33272,1,1,0.9998492,-0.0084455,0.0151752,9.18e-05,0.0,0.0,0.0
33273,1,1,0.999849,-0.0084422,0.0151895,8.63e-05,0.0,0.0,0.0
33274,1,1,0.9998489,-0.0084414,0.0151967,8.08e-05,0.0,0.0,0.0
33275,1,1,0.9998487,-0.0084433,0.0152122,7.78e-05,0.0,0.0,0.0
33276,1,1,0.9998485,-0.0084402,0.0152216,7.51e-05,0.0,0.0,0.0
33277,1,1,0.9998482,-0.0084346,0.0152431,7.23e-05,0.0,0.0,0.0
33278,1,1,0.9998479,-0.0084367,0.0152617,7.23e-05,0.0,0.0,0.0
33279,1,1,0.9998478,-0.0084384,0.0152702,6.95e-05,0.0,0.0,0.0
33280,1,1,0.9998477,-0.0084452,0.0152791,6.39e-05,0.0,0.0,0.0
33281,1,1,0.9998476,-0.0084467,0.015283,5.56e-05,0.0,0.0,0.0
33282,1,1,0.9998474,-0.008446,0.0152999,5e-05,0.0,0.0,0.0
33283,1,1,0.9998471,-0.0084408,0.0153185,4.2e-05,0.0,0.0,0.0
33284,1,1,0.9998469,-0.0084357,0.0153364,3.67e-05,0.0,0.0,0.0
33285,1,1,0.9998469,-0.0084248,0.0153382,3.4e-05,0.0,0.0,0.0
33286,1,1,0.9998469,-0.0084195,0.0153432,2.88e-05,0.0,0.0,0.0
33287,1,1,0.9998469,-0.0084092,0.0153482,2.09e-05,0.0,0.0,0.0
33288,1,1,0.9998469,-0.0084065,0.0153456,1.55e-05,0.0,0.0,0.0
33289,1,1,0.999847,-0.0084138,0.0153358,4.7e-06,0.0,0.0,0.0
33290,1,1,0.999847,-0.0084207,0.0153317,-6.4e-06,0.0,0.0,0.0
33291,1,1,0.999847,-0.0084226,0.0153327,-1.2e-05,0.0,0.0,0.0
33292,1,1,0.9998469,-0.0084172,0.0153385,-1.21e-05,0.0,0.0,0.0
33293,1,1,0.9998469,-0.0084119,0.0153411,-1.48e-05,0.0,0.0,0.0
33294,1,1,0.9998469,-0.008409,0.0153438,-2.56e-05,0.0,0.0,0.0
