t_us, seq, ax, ay, az, gx, gy, gz, mx, my, mz, valid_mag_reading, valid, t_imu_us, t_serial_us, last_t_mag, missed
28741253,10,-0.0425,0.0039,1.0171,0.0610,0.2441,-0.1831,5.0000,38.0000,66.0000,1,1,488,1174,396,0
28746252,11,-0.0425,0.0049,1.0186,0.0000,0.1831,-0.1221,5.0000,38.0000,66.0000,0,1,500,1186,764,0
28751251,12,-0.0425,0.0059,1.0210,0.0000,0.2441,-0.1831,5.0000,38.0000,66.0000,0,1,479,1125,423,0
28756252,13,-0.0425,0.0039,1.0205,0.0610,0.3052,-0.2441,5.0000,38.0000,66.0000,0,1,480,1127,422,0
28761254,14,-0.0420,0.0029,1.0190,0.0000,0.1831,-0.1221,5.0000,38.0000,66.0000,0,1,463,1174,412,0
28766252,15,-0.0420,0.0044,1.0200,0.0000,0.1221,-0.1221,5.0000,38.0000,66.0000,0,1,463,1128,426,0
28771251,16,-0.0430,0.0054,1.0210,0.0610,0.1831,-0.3052,5.0000,38.0000,66.0000,0,1,462,1121,414,0
28776249,17,-0.0439,0.0049,1.0210,-0.0610,0.1831,-0.2441,5.0000,38.0000,66.0000,0,1,462,1166,434,0
28781253,18,-0.0435,0.0039,1.0195,-0.0610,0.3662,-0.2441,5.0000,38.0000,66.0000,0,1,463,1073,409,0
28786249,19,-0.0430,0.0034,1.0186,0.1221,0.3052,-0.2441,5.0000,38.0000,66.0000,0,1,463,1160,410,0
28791270,20,-0.0425,0.0049,1.0195,0.0610,0.1831,-0.1831,5.0000,38.0000,66.0000,0,1,463,1134,396,0
28796253,21,-0.0420,0.0059,1.0200,-0.0610,0.2441,-0.2441,5.0000,38.0000,66.0000,0,1,462,1176,398,0
28801253,22,-0.0420,0.0068,1.0195,-0.1831,0.2441,-0.2441,5.0000,38.0000,66.0000,0,1,466,1268,396,0
28806272,23,-0.0430,0.0054,1.0195,-0.1221,0.2441,-0.2441,5.0000,38.0000,66.0000,0,1,464,1195,396,0
28811256,24,-0.0430,0.0039,1.0210,0.0000,0.2441,-0.2441,5.0000,38.0000,66.0000,0,1,491,1188,396,0
28816250,25,-0.0430,0.0044,1.0220,0.0000,0.3052,-0.1831,5.0000,38.0000,66.0000,0,1,483,1133,396,0
28821253,26,-0.0425,0.0049,1.0215,0.0000,0.3052,-0.3052,5.0000,38.0000,66.0000,0,1,499,1127,396,0
28826255,27,-0.0420,0.0049,1.0215,-0.0610,0.2441,-0.2441,5.0000,38.0000,66.0000,0,1,484,1121,396,0
28831254,28,-0.0425,0.0049,1.0210,-0.1221,0.3052,-0.1221,5.0000,38.0000,66.0000,0,1,488,1179,397,0
28836250,29,-0.0430,0.0049,1.0195,-0.0610,0.2441,-0.2441,5.0000,38.0000,66.0000,0,1,492,1164,396,0
28841250,30,-0.0420,0.0049,1.0186,0.0000,0.1221,-0.1831,6.0000,40.0000,64.0000,1,1,479,1179,397,0
28846253,31,-0.0415,0.0054,1.0190,0.0000,0.2441,-0.1831,6.0000,40.0000,64.0000,0,1,495,1072,764,0
28851255,32,-0.0430,0.0054,1.0205,0.0000,0.3052,-0.1831,6.0000,40.0000,64.0000,0,1,472,1108,422,0
28856255,33,-0.0435,0.0044,1.0200,-0.0610,0.3052,-0.2441,6.0000,40.0000,64.0000,0,1,479,1099,411,0
28861254,34,-0.0444,0.0044,1.0195,-0.1221,0.2441,-0.2441,6.0000,40.0000,64.0000,0,1,463,1144,438,0
28866256,35,-0.0439,0.0049,1.0210,-0.1221,0.3052,-0.1831,6.0000,40.0000,64.0000,0,1,463,1152,424,0
28871254,36,-0.0430,0.0054,1.0229,-0.0610,0.2441,-0.1831,6.0000,40.0000,64.0000,0,1,463,1143,439,0
28876254,37,-0.0430,0.0049,1.0244,0.0610,0.1831,-0.2441,6.0000,40.0000,64.0000,0,1,462,1152,423,0
28881254,38,-0.0430,0.0044,1.0229,-0.0610,0.3662,-0.1831,6.0000,40.0000,64.0000,0,1,463,1056,413,0
28886254,39,-0.0435,0.0044,1.0195,-0.0610,0.3052,-0.2441,6.0000,40.0000,64.0000,0,1,462,1114,396,0
28891258,40,-0.0430,0.0049,1.0166,0.0610,0.2441,-0.2441,6.0000,40.0000,64.0000,0,1,463,1138,412,0
28896254,41,-0.0420,0.0049,1.0176,-0.0610,0.2441,-0.2441,6.0000,40.0000,64.0000,0,1,463,1190,398,0
28901254,42,-0.0425,0.0034,1.0190,-0.0610,0.2441,-0.2441,6.0000,40.0000,64.0000,0,1,489,1207,413,0
28906269,43,-0.0430,0.0039,1.0195,0.0610,0.2441,-0.2441,6.0000,40.0000,64.0000,0,1,465,1172,396,0
28911256,44,-0.0430,0.0044,1.0195,0.0000,0.3052,-0.1831,6.0000,40.0000,64.0000,0,1,491,1172,397,0
28916256,45,-0.0430,0.0039,1.0200,0.0000,0.3052,-0.1831,6.0000,40.0000,64.0000,0,1,481,1103,396,0
28921256,46,-0.0420,0.0044,1.0205,0.0000,0.3052,-0.1221,6.0000,40.0000,64.0000,0,1,492,1102,396,0
28926254,47,-0.0420,0.0049,1.0210,-0.0610,0.3662,-0.0610,6.0000,40.0000,64.0000,0,1,484,1096,397,0
28931248,48,-0.0425,0.0049,1.0215,0.0000,0.1831,-0.1221,6.0000,40.0000,64.0000,0,1,480,1146,396,0
28936254,49,-0.0430,0.0049,1.0205,0.1221,0.1221,-0.0610,6.0000,40.0000,64.0000,0,1,500,1100,396,0
28941250,50,-0.0430,0.0049,1.0190,0.1221,0.1221,-0.2441,6.0000,37.0000,60.0000,1,1,496,1140,397,0
28946255,51,-0.0425,0.0054,1.0190,0.1831,0.3052,-0.2441,6.0000,37.0000,60.0000,0,1,470,1135,791,0
28951248,52,-0.0430,0.0054,1.0190,0.0000,0.3052,-0.2441,6.0000,37.0000,60.0000,0,1,471,1150,399,0
28956252,53,-0.0435,0.0054,1.0205,0.0610,0.1221,-0.2441,6.0000,37.0000,60.0000,0,1,462,1101,421,0
28961251,54,-0.0425,0.0044,1.0220,0.0610,0.0610,-0.1831,6.0000,37.0000,60.0000,0,1,463,1146,418,0
28966253,55,-0.0425,0.0039,1.0225,-0.0610,0.1831,-0.2441,6.0000,37.0000,60.0000,0,1,463,1147,439,0
28971248,56,-0.0430,0.0044,1.0225,-0.0610,0.3052,-0.3662,6.0000,37.0000,60.0000,0,1,463,1153,407,0
28976249,57,-0.0430,0.0049,1.0225,0.0610,0.3662,-0.2441,6.0000,37.0000,60.0000,0,1,463,1038,439,0
28981250,58,-0.0430,0.0054,1.0225,0.0000,0.2441,-0.2441,6.0000,37.0000,60.0000,0,1,462,1111,425,0
28986249,59,-0.0430,0.0054,1.0210,0.0000,0.3052,-0.3052,6.0000,37.0000,60.0000,0,1,463,1133,412,0
28991250,60,-0.0420,0.0039,1.0200,0.0000,0.2441,-0.1831,6.0000,37.0000,60.0000,0,1,462,1084,396,0
28996251,61,-0.0410,0.0029,1.0205,0.0000,0.3052,-0.1831,6.0000,37.0000,60.0000,0,1,490,1097,413,0
29001254,62,-0.0400,0.0034,1.0205,0.0000,0.2441,-0.1831,6.0000,37.0000,60.0000,0,1,465,1092,396,0
29006256,63,-0.0410,0.0034,1.0205,-0.0610,0.2441,-0.1831,6.0000,37.0000,60.0000,0,1,483,1082,397,0
29011252,64,-0.0435,0.0034,1.0195,0.0000,0.2441,-0.1831,6.0000,37.0000,60.0000,0,1,507,1144,397,0
29016253,65,-0.0454,0.0039,1.0195,0.0000,0.2441,-0.1831,6.0000,37.0000,60.0000,0,1,492,1113,396,0
29021248,66,-0.0444,0.0049,1.0205,-0.0610,0.1831,-0.1831,6.0000,37.0000,60.0000,0,1,502,1116,397,0
29026255,67,-0.0425,0.0059,1.0210,0.0610,0.3662,-0.2441,6.0000,37.0000,60.0000,0,1,472,1155,397,0
29031251,68,-0.0420,0.0059,1.0205,0.0610,0.3052,-0.2441,6.0000,37.0000,60.0000,0,1,480,1147,396,0
29036249,69,-0.0420,0.0049,1.0215,-0.1221,0.3052,-0.2441,6.0000,37.0000,60.0000,0,1,492,1146,396,0
29041254,70,-0.0415,0.0044,1.0210,-0.0610,0.3662,-0.2441,6.0000,40.0000,61.0000,1,1,492,1146,395,0
29046255,71,-0.0415,0.0044,1.0195,0.0610,0.3052,-0.2441,6.0000,40.0000,61.0000,0,1,467,1144,791,0
29051257,72,-0.0415,0.0044,1.0186,0.0000,0.3052,-0.2441,6.0000,40.0000,61.0000,0,1,480,1153,397,0
29056255,73,-0.0410,0.0044,1.0181,0.0000,0.1831,-0.2441,6.0000,40.0000,61.0000,0,1,463,1105,439,0
29061248,74,-0.0410,0.0034,1.0171,-0.0610,0.2441,-0.1221,6.0000,40.0000,61.0000,0,1,463,1108,422,0
29066250,75,-0.0415,0.0029,1.0186,-0.0610,0.1831,-0.2441,6.0000,40.0000,61.0000,0,1,462,1152,415,0
29071248,76,-0.0425,0.0039,1.0205,0.0000,0.2441,-0.3052,6.0000,40.0000,61.0000,0,1,463,1157,415,0
29076256,77,-0.0435,0.0049,1.0210,0.0000,0.3662,-0.3052,6.0000,40.0000,61.0000,0,1,463,1020,438,0
29081250,78,-0.0430,0.0054,1.0200,-0.0610,0.3662,-0.2441,6.0000,40.0000,61.0000,0,1,462,1036,420,0
29086257,79,-0.0420,0.0054,1.0195,-0.1221,0.2441,-0.2441,6.0000,40.0000,61.0000,0,1,462,1112,413,0
29091251,80,-0.0430,0.0039,1.0200,0.0000,0.1831,-0.2441,6.0000,40.0000,61.0000,0,1,463,1182,395,0
29096256,81,-0.0439,0.0029,1.0205,0.0000,0.3052,-0.1831,6.0000,40.0000,61.0000,0,1,489,1100,414,0
29101255,82,-0.0439,0.0039,1.0205,0.0000,0.1831,-0.1221,6.0000,40.0000,61.0000,0,1,466,1126,397,0
29106256,83,-0.0435,0.0044,1.0215,0.0610,0.2441,-0.1221,6.0000,40.0000,61.0000,0,1,491,1083,396,0
29111249,84,-0.0430,0.0044,1.0210,0.0610,0.2441,-0.2441,6.0000,40.0000,61.0000,0,1,508,1138,396,0
