t_us, seq, ax, ay, az, gx, gy, gz, mx, my, mz, valid_mag_reading, valid, t_imu_us, t_serial_us, last_t_mag, missed
29233295,10,-0.0156,0.0210,1.0225,0.0000,0.3052,-0.3052,33.0000,5.0000,2.0000,1,1,490,1176,399,0
29238286,11,-0.0151,0.0215,1.0234,-0.0610,0.4272,-0.3662,33.0000,5.0000,2.0000,0,1,463,1100,767,0
29243287,12,-0.0132,0.0215,1.0239,-0.1831,0.3662,-0.2441,33.0000,5.0000,2.0000,0,1,463,1198,423,0
29248286,13,-0.0132,0.0210,1.0229,-0.1221,0.4883,-0.3662,33.0000,5.0000,2.0000,0,1,480,1178,423,0
29253293,14,-0.0142,0.0215,1.0215,-0.1221,0.5493,-0.3662,33.0000,5.0000,2.0000,0,1,464,1152,419,0
29258294,15,-0.0137,0.0220,1.0225,-0.2441,0.5493,-0.2441,33.0000,5.0000,2.0000,0,1,481,1183,422,0
29263294,16,-0.0137,0.0229,1.0234,-0.2441,0.6714,-0.3052,33.0000,5.0000,2.0000,0,1,471,1159,426,0
29268288,17,-0.0166,0.0244,1.0220,-0.1831,0.5493,-0.4272,33.0000,5.0000,2.0000,0,1,479,1060,396,0
29273290,18,-0.0151,0.0210,1.0229,-0.4883,0.4272,-0.2441,33.0000,5.0000,2.0000,0,1,470,1068,396,0
29278301,19,-0.0137,0.0171,1.0234,-0.2441,0.9155,-0.1831,33.0000,5.0000,2.0000,0,1,474,1158,397,0
29283288,20,-0.0151,0.0190,1.0215,-0.2441,0.7324,-0.1831,33.0000,5.0000,2.0000,0,1,467,1159,397,0
29288291,21,-0.0156,0.0210,1.0215,-0.4883,0.6714,-0.2441,33.0000,5.0000,2.0000,0,1,465,1162,396,0
29293293,22,-0.0171,0.0215,1.0215,-0.4272,0.8545,-0.1831,33.0000,5.0000,2.0000,0,1,463,1154,395,0
29298294,23,-0.0181,0.0215,1.0205,-0.3662,0.7935,-0.2441,33.0000,5.0000,2.0000,0,1,491,1153,412,0
29303289,24,-0.0176,0.0181,1.0210,-0.4883,0.6104,-0.2441,33.0000,5.0000,2.0000,0,1,471,1154,407,0
29308292,25,-0.0166,0.0151,1.0210,-0.2441,0.7324,-0.2441,33.0000,5.0000,2.0000,0,1,489,1148,413,0
29313295,26,-0.0181,0.0166,1.0176,-0.0610,0.6104,-0.3662,33.0000,5.0000,2.0000,0,1,478,1163,408,0
29318292,27,-0.0181,0.0176,1.0181,-0.0610,0.4272,-0.1831,33.0000,5.0000,2.0000,0,1,480,1179,413,0
29323293,28,-0.0161,0.0186,1.0205,0.0000,0.5493,-0.2441,33.0000,5.0000,2.0000,0,1,472,1141,414,0
29328294,29,-0.0161,0.0195,1.0215,0.0610,0.3662,-0.1831,33.0000,5.0000,2.0000,0,1,479,1154,396,0
29333292,30,-0.0156,0.0195,1.0215,0.1221,0.4272,-0.1831,31.0000,4.0000,2.0000,1,1,491,1186,405,0
29338288,31,-0.0146,0.0190,1.0215,0.2441,0.4272,-0.2441,31.0000,4.0000,2.0000,0,1,462,1151,767,0
29343295,32,-0.0146,0.0186,1.0205,0.1221,0.4883,-0.1221,31.0000,4.0000,2.0000,0,1,463,1194,423,0
29348292,33,-0.0156,0.0195,1.0200,0.2441,0.4883,-0.2441,31.0000,4.0000,2.0000,0,1,480,1131,423,0
29353287,34,-0.0166,0.0200,1.0190,0.3052,0.3662,-0.3052,31.0000,4.0000,2.0000,0,1,464,1152,416,0
29358288,35,-0.0166,0.0195,1.0200,0.3662,0.3052,-0.1221,31.0000,4.0000,2.0000,0,1,480,1145,423,0
29363287,36,-0.0156,0.0190,1.0215,0.1831,0.3662,-0.2441,31.0000,4.0000,2.0000,0,1,481,1145,418,0
29368293,37,-0.0156,0.0195,1.0215,0.1221,0.3662,-0.3052,31.0000,4.0000,2.0000,0,1,465,1136,395,0
29373294,38,-0.0156,0.0205,1.0215,0.2441,0.3052,-0.1221,31.0000,4.0000,2.0000,0,1,470,1125,424,0
29378302,39,-0.0156,0.0220,1.0215,0.1831,0.3662,-0.1221,31.0000,4.0000,2.0000,0,1,478,1171,396,0
29383287,40,-0.0146,0.0215,1.0210,0.2441,0.3662,-0.1831,31.0000,4.0000,2.0000,0,1,475,1149,396,0
29388289,41,-0.0151,0.0200,1.0205,0.2441,0.2441,-0.2441,31.0000,4.0000,2.0000,0,1,499,1153,396,0
29393287,42,-0.0156,0.0210,1.0215,0.1831,0.1831,-0.3052,31.0000,4.0000,2.0000,0,1,468,1155,412,0
29398287,43,-0.0161,0.0234,1.0225,0.1831,0.3052,-0.1831,31.0000,4.0000,2.0000,0,1,463,1147,398,0
29403291,44,-0.0181,0.0234,1.0220,0.2441,0.3052,-0.1831,31.0000,4.0000,2.0000,0,1,485,1179,413,0
29408290,45,-0.0190,0.0215,1.0205,0.3052,0.1831,-0.1221,31.0000,4.0000,2.0000,0,1,476,1145,396,0
29413289,46,-0.0190,0.0195,1.0190,0.3052,0.1221,-0.2441,31.0000,4.0000,2.0000,0,1,491,1143,412,0
29418289,47,-0.0181,0.0186,1.0195,0.3052,-0.0610,-0.2441,31.0000,4.0000,2.0000,0,1,474,1137,407,0
29423286,48,-0.0161,0.0186,1.0205,0.3052,0.0610,-0.2441,31.0000,4.0000,2.0000,0,1,489,1060,413,0
29428292,49,-0.0151,0.0195,1.0220,0.3662,0.1831,-0.1831,31.0000,4.0000,2.0000,0,1,490,1185,405,0
29433293,50,-0.0151,0.0210,1.0215,0.3662,0.0610,-0.1831,35.0000,5.0000,6.0000,1,1,463,1162,423,0
29438286,51,-0.0156,0.0215,1.0210,0.1831,0.0000,-0.1831,35.0000,5.0000,6.0000,0,1,462,1138,805,0
29443293,52,-0.0156,0.0225,1.0210,0.2441,0.0610,-0.2441,35.0000,5.0000,6.0000,0,1,480,1122,396,0
29448293,53,-0.0156,0.0225,1.0210,0.2441,0.2441,-0.3052,35.0000,5.0000,6.0000,0,1,463,1167,405,0
29453295,54,-0.0151,0.0210,1.0210,0.3052,0.1221,-0.3052,35.0000,5.0000,6.0000,0,1,481,1136,422,0
29458294,55,-0.0161,0.0200,1.0210,0.1831,0.0610,-0.3052,35.0000,5.0000,6.0000,0,1,474,1051,416,0
29463288,56,-0.0181,0.0205,1.0215,0.1831,0.0610,-0.1831,35.0000,5.0000,6.0000,0,1,464,1112,397,0
29468287,57,-0.0190,0.0205,1.0210,0.0610,0.1221,-0.2441,35.0000,5.0000,6.0000,0,1,477,1107,424,0
