t_us, seq, ax, ay, az, gx, gy, gz, mx, my, mz, valid_mag_reading, valid, t_imu_us, t_serial_us, last_t_mag, missed
106083294,15096,-0.0322,0.0205,1.0195,-0.2441,0.6104,-0.3662,5.0000,-20.0000,-67.0000,0,1,491,1161,396,284
106088291,15097,-0.0308,0.0210,1.0200,-0.2441,0.6104,-0.3662,5.0000,-20.0000,-67.0000,0,1,507,1167,397,284
106093293,15098,-0.0298,0.0210,1.0220,-0.3662,0.6714,-0.3052,5.0000,-20.0000,-67.0000,0,1,477,1157,396,284
106098289,15099,-0.0308,0.0210,1.0220,-0.3052,0.4883,-0.3052,6.0000,-19.0000,-71.0000,1,1,501,1155,397,284
106103288,15100,-0.0327,0.0220,1.0205,-0.1221,0.6104,-0.3662,6.0000,-19.0000,-71.0000,0,1,508,1063,810,284
106108290,15101,-0.0327,0.0225,1.0200,-0.0610,0.6714,-0.3662,6.0000,-19.0000,-71.0000,0,1,490,1172,396,284
106113292,15102,-0.0327,0.0215,1.0195,-0.0610,0.5493,-0.3052,6.0000,-19.0000,-71.0000,0,1,490,1171,397,284
106118293,15103,-0.0317,0.0210,1.0200,-0.1221,0.4883,-0.3662,6.0000,-19.0000,-71.0000,0,1,507,1173,397,284
106123290,15104,-0.0308,0.0215,1.0215,-0.1831,0.5493,-0.3052,6.0000,-19.0000,-71.0000,0,1,506,1169,397,284
106128294,15105,-0.0312,0.0225,1.0239,-0.1221,0.7324,-0.2441,6.0000,-19.0000,-71.0000,0,1,507,1168,395,284
106133293,15106,-0.0312,0.0234,1.0249,-0.1221,0.7935,-0.2441,6.0000,-19.0000,-71.0000,0,1,462,1201,440,284
106138292,15107,-0.0308,0.0225,1.0244,-0.4272,0.7935,-0.3662,6.0000,-19.0000,-71.0000,0,1,463,1199,412,284
106143293,15108,-0.0308,0.0215,1.0249,-0.3662,0.7935,-0.3662,6.0000,-19.0000,-71.0000,0,1,463,1172,441,284
106148290,15109,-0.0303,0.0220,1.0249,-0.3052,1.0376,-0.3662,6.0000,-19.0000,-71.0000,0,1,463,1173,408,284
106153290,15110,-0.0317,0.0229,1.0249,-0.4883,1.0376,-0.4272,6.0000,-19.0000,-71.0000,0,1,463,1167,436,284
106158290,15111,-0.0327,0.0229,1.0239,-0.7324,1.1597,-0.4272,6.0000,-19.0000,-71.0000,0,1,463,1205,399,284
106163294,15112,-0.0327,0.0229,1.0239,-0.6714,1.0986,-0.3052,6.0000,-19.0000,-71.0000,0,1,463,1209,437,284
106168295,15113,-0.0317,0.0225,1.0239,-0.6104,1.0376,-0.3662,6.0000,-19.0000,-71.0000,0,1,463,1166,439,284
106173293,15114,-0.0322,0.0225,1.0225,-0.6104,1.0986,-0.4272,6.0000,-19.0000,-71.0000,0,1,463,1076,430,284
106178294,15115,-0.0337,0.0220,1.0200,-0.6714,1.1597,-0.4272,6.0000,-19.0000,-71.0000,0,1,463,1237,397,284
106183314,15116,-0.0352,0.0195,1.0195,-0.7324,0.9766,-0.4272,6.0000,-19.0000,-71.0000,0,1,462,1180,397,284
106188286,15117,-0.0347,0.0186,1.0210,-0.6714,1.0376,-0.3662,6.0000,-19.0000,-71.0000,0,1,462,1184,397,284
106193287,15118,-0.0332,0.0200,1.0220,-0.5493,1.1597,-0.3662,6.0000,-19.0000,-71.0000,0,1,462,1198,396,284
106198288,15119,-0.0337,0.0210,1.0220,-0.5493,1.0986,-0.2441,5.0000,-21.0000,-66.0000,1,1,465,1177,397,284
