t_us, seq, ax, ay, az, gx, gy, gz, valid, t_imu_us, t_serial_us, missed
392171302,67474,-0.0288,-0.0464,1.0220,-0.4272,0.7324,-0.3052,1,466,878,474
392176304,67475,-0.0288,-0.0474,1.0205,-0.3052,0.6714,-0.3662,1,466,878,474
392181308,67476,-0.0288,-0.0483,1.0205,-0.3052,0.4883,-0.2441,1,466,876,474
392186304,67477,-0.0283,-0.0479,1.0205,-0.1831,0.5493,-0.2441,1,483,879,474
392191307,67478,-0.0273,-0.0464,1.0215,-0.1831,0.7324,-0.4272,1,466,872,474
392196302,67479,-0.0293,-0.0454,1.0225,-0.2441,0.5493,-0.4272,1,484,870,474
392201303,67480,-0.0308,-0.0459,1.0210,-0.1831,0.4883,-0.3052,1,472,910,474
392206303,67481,-0.0303,-0.0469,1.0190,-0.0610,0.4272,-0.3052,1,477,858,474
392211302,67482,-0.0293,-0.0483,1.0200,0.0000,0.4883,-0.4272,1,479,865,474
392216301,67483,-0.0283,-0.0483,1.0210,0.0000,0.4272,-0.3052,1,481,812,474
392221305,67484,-0.0278,-0.0469,1.0215,0.0610,0.3662,-0.2441,1,509,811,474
392226302,67485,-0.0283,-0.0459,1.0220,0.1831,0.4272,-0.3052,1,465,811,474
392231304,67486,-0.0283,-0.0464,1.0229,0.1221,0.4883,-0.3662,1,508,798,474
392236307,67487,-0.0269,-0.0459,1.0239,0.1221,0.5493,-0.2441,1,479,856,474
392241307,67488,-0.0259,-0.0459,1.0239,0.1221,0.5493,-0.3052,1,488,859,474
392246306,67489,-0.0264,-0.0469,1.0239,0.2441,0.4883,-0.3662,1,477,842,474
392251309,67490,-0.0278,-0.0474,1.0225,0.1831,0.4883,-0.3052,1,478,870,474
392256304,67491,-0.0278,-0.0459,1.0215,0.1831,0.6104,-0.2441,1,485,847,474
392261307,67492,-0.0283,-0.0454,1.0215,0.1831,0.7324,-0.3052,1,476,848,474
392266305,67493,-0.0288,-0.0464,1.0225,0.1831,0.7324,-0.3662,1,493,851,474
392271307,67494,-0.0278,-0.0459,1.0229,0.1221,0.6714,-0.3662,1,466,881,474
392276306,67495,-0.0269,-0.0439,1.0220,0.1831,0.6714,-0.3662,1,466,878,474
392281306,67496,-0.0269,-0.0435,1.0220,0.2441,0.7324,-0.3052,1,466,880,474
392286307,67497,-0.0273,-0.0444,1.0229,0.2441,0.7324,-0.3052,1,465,875,474
392291309,67498,-0.0283,-0.0454,1.0234,0.0610,0.6104,-0.1831,1,483,881,474
392296302,67499,-0.0278,-0.0444,1.0229,0.0000,0.6714,-0.3052,1,466,867,474
392301309,67500,-0.0273,-0.0444,1.0229,0.0000,0.7935,-0.3662,1,484,830,474
392306301,67501,-0.0273,-0.0459,1.0229,0.0000,0.6104,-0.2441,1,469,826,474
392311301,67502,-0.0288,-0.0464,1.0234,0.0610,0.7324,-0.3052,1,478,829,474
392316302,67503,-0.0283,-0.0454,1.0234,0.0610,0.7935,-0.3052,1,482,873,474
392321305,67504,-0.0278,-0.0439,1.0229,0.1831,0.7935,-0.1221,1,465,873,474
392326303,67505,-0.0273,-0.0435,1.0229,0.1221,0.9155,-0.0610,1,507,877,474
392331302,67506,-0.0278,-0.0444,1.0225,0.0610,0.9766,-0.3662,1,466,856,474
392336302,67507,-0.0293,-0.0469,1.0205,0.3052,0.7935,-0.3052,1,508,791,474
392341308,67508,-0.0312,-0.0474,1.0205,0.2441,0.5493,-0.3662,1,483,760,474
392346303,67509,-0.0303,-0.0459,1.0220,0.2441,0.4272,-0.3662,1,486,839,474
392351304,67510,-0.0283,-0.0444,1.0239,0.3052,0.3662,-0.3052,1,490,848,474
392356307,67511,-0.0273,-0.0435,1.0249,0.0610,0.4883,-0.3662,1,478,869,474
392361302,67512,-0.0278,-0.0435,1.0239,0.2441,0.5493,-0.2441,1,483,848,474
392366302,67513,-0.0283,-0.0435,1.0215,0.2441,0.6104,-0.2441,1,472,857,474
392371303,67514,-0.0293,-0.0439,1.0210,0.1831,0.5493,-0.4272,1,493,849,474
392376309,67515,-0.0303,-0.0444,1.0215,0.1831,0.6104,-0.4272,1,466,881,474
392381307,67516,-0.0298,-0.0435,1.0220,0.2441,0.3662,-0.3662,1,466,874,474
392386307,67517,-0.0293,-0.0439,1.0225,0.2441,0.4883,-0.3662,1,466,880,474
392391309,67518,-0.0298,-0.0459,1.0220,0.3052,0.4883,-0.3662,1,466,881,474
392396310,67519,-0.0298,-0.0459,1.0220,0.1831,0.5493,-0.2441,1,466,871,474
392401301,67520,-0.0303,-0.0449,1.0220,0.3052,0.3662,-0.2441,1,465,880,474
392406309,67521,-0.0308,-0.0444,1.0220,0.2441,0.2441,-0.3052,1,484,864,474
392411305,67522,-0.0298,-0.0430,1.0220,0.0610,0.4272,-0.3052,1,465,875,474
392416306,67523,-0.0293,-0.0410,1.0215,0.0000,0.4272,-0.4272,1,481,860,474
392421308,67524,-0.0303,-0.0415,1.0220,0.0000,0.3052,-0.3052,1,482,821,474
392426302,67525,-0.0312,-0.0425,1.0225,0.0610,0.1221,-0.3052,1,465,803,474
392431306,67526,-0.0303,-0.0430,1.0234,0.0000,0.1221,-0.3052,1,469,890,474
392436305,67527,-0.0293,-0.0439,1.0244,0.0610,0.1831,-0.3662,1,471,728,474
392441303,67528,-0.0298,-0.0454,1.0234,0.0610,0.1221,-0.2441,1,493,791,474
392446306,67529,-0.0308,-0.0449,1.0215,0.1221,-0.1221,-0.3052,1,468,772,474
392451309,67530,-0.0308,-0.0435,1.0205,0.0610,-0.0610,-0.2441,1,487,849,474
392456309,67531,-0.0293,-0.0439,1.0225,0.0000,0.0000,-0.1831,1,490,842,474
392461309,67532,-0.0288,-0.0439,1.0239,0.0000,-0.0610,-0.1831,1,480,757,474
392466306,67533,-0.0288,-0.0439,1.0229,0.0000,-0.1831,-0.3052,1,487,808,474
392471308,67534,-0.0283,-0.0444,1.0225,-0.1831,-0.2441,-0.3662,1,475,806,474
392476308,67535,-0.0278,-0.0444,1.0225,-0.2441,-0.1831,-0.3662,1,492,857,474
392481304,67536,-0.0283,-0.0435,1.0229,-0.3662,-0.0610,-0.1831,1,493,857,474
392486305,67537,-0.0293,-0.0435,1.0229,-0.3662,0.0000,-0.2441,1,466,882,474
392491304,67538,-0.0303,-0.0449,1.0229,-0.3052,-0.0610,-0.3662,1,466,834,474
392496322,67539,-0.0293,-0.0449,1.0220,-0.3052,-0.1221,-0.2441,1,466,875,474
392501308,67540,-0.0283,-0.0449,1.0200,-0.3662,-0.1221,-0.2441,1,466,874,474
392506304,67541,-0.0273,-0.0454,1.0186,-0.2441,-0.1831,-0.4272,1,484,880,474
392511302,67542,-0.0269,-0.0454,1.0195,-0.2441,-0.1221,-0.3052,1,484,873,474
392516302,67543,-0.0288,-0.0444,1.0210,-0.3052,-0.1221,-0.3052,1,465,875,474
392521309,67544,-0.0308,-0.0454,1.0210,-0.3052,0.0000,-0.3052,1,474,859,474
392526306,67545,-0.0312,-0.0459,1.0210,-0.3052,-0.1831,-0.3052,1,472,811,474
392531336,67546,-0.0293,-0.0459,1.0215,-0.1831,-0.4272,-0.3052,1,479,893,474
392536310,67547,-0.0278,-0.0444,1.0234,-0.3052,-0.4272,-0.3052,1,472,872,474
392541307,67548,-0.0283,-0.0430,1.0239,-0.3052,-0.3662,-0.4272,1,503,859,474
392546309,67549,-0.0283,-0.0435,1.0239,-0.4883,-0.4272,-0.5493,1,507,861,474
392551305,67550,-0.0283,-0.0444,1.0239,-0.4883,-0.1831,-0.4883,1,511,863,474
392556301,67551,-0.0283,-0.0439,1.0244,-0.4272,-0.2441,-0.3662,1,476,834,474
392561310,67552,-0.0273,-0.0430,1.0244,-0.4883,-0.2441,-0.3662,1,486,859,474
392566301,67553,-0.0264,-0.0435,1.0244,-0.6714,-0.2441,-0.1831,1,485,853,474
392571303,67554,-0.0269,-0.0444,1.0244,-0.6714,-0.1221,-0.2441,1,480,852,474
392576308,67555,-0.0273,-0.0459,1.0234,-0.6104,-0.0610,-0.3662,1,488,850,474
392581307,67556,-0.0273,-0.0464,1.0229,-0.6714,0.0610,-0.3052,1,487,848,474
392586308,67557,-0.0278,-0.0469,1.0225,-0.4883,0.0000,-0.1831,1,493,843,474
392591306,67558,-0.0278,-0.0479,1.0215,-0.6104,-0.0610,-0.3052,1,466,829,474
392596306,67559,-0.0269,-0.0474,1.0234,-0.7324,0.0610,-0.1831,1,466,870,474
392601308,67560,-0.0264,-0.0459,1.0249,-0.6104,0.1831,-0.1221,1,466,878,474
392606309,67561,-0.0273,-0.0459,1.0244,-0.7324,0.3662,-0.1831,1,466,875,474
392611301,67562,-0.0288,-0.0493,1.0225,-0.6714,0.1831,-0.1831,1,483,884,474
392616307,67563,-0.0298,-0.0503,1.0205,-0.4883,0.1221,-0.1221,1,469,873,474
392621309,67564,-0.0303,-0.0479,1.0220,-0.3662,0.2441,-0.1831,1,484,856,474
392626306,67565,-0.0288,-0.0464,1.0249,-0.4883,0.2441,0.0000,1,465,905,474
392631305,67566,-0.0264,-0.0459,1.0249,-0.5493,0.2441,0.0000,1,474,833,474
392636314,67567,-0.0249,-0.0464,1.0234,-0.6104,0.3052,0.0610,1,479,832,474
392641306,67568,-0.0259,-0.0474,1.0229,-0.5493,0.3052,0.0000,1,473,823,474
392646304,67569,-0.0288,-0.0488,1.0210,-0.5493,0.4272,0.0610,1,510,811,474
392651309,67570,-0.0322,-0.0493,1.0171,-0.4272,0.1831,0.1221,1,468,859,474
392656301,67571,-0.0327,-0.0483,1.0156,-0.1831,-0.0610,0.0000,1,507,858,474
392661301,67572,-0.0298,-0.0474,1.0195,-0.3052,-0.1831,-0.0610,1,471,811,474
392666302,67573,-0.0264,-0.0459,1.0239,-0.2441,-0.2441,0.0000,1,479,845,474
392671307,67574,-0.0269,-0.0449,1.0249,-0.2441,-0.3662,-0.0610,1,487,827,474
392676307,67575,-0.0283,-0.0459,1.0229,-0.3052,-0.3662,-0.0610,1,492,873,474
392681308,67576,-0.0288,-0.0474,1.0229,-0.2441,-0.3662,0.0000,1,476,848,474
392686301,67577,-0.0283,-0.0469,1.0244,-0.2441,-0.4883,-0.0610,1,473,809,474
392691303,67578,-0.0278,-0.0464,1.0249,-0.3052,-0.4272,-0.1831,1,492,848,474
392696306,67579,-0.0273,-0.0454,1.0239,-0.3052,-0.3052,-0.0610,1,466,878,474
392701306,67580,-0.0278,-0.0459,1.0229,-0.3662,-0.3052,-0.0610,1,466,873,474
392706307,67581,-0.0288,-0.0483,1.0215,-0.4272,-0.3052,-0.1221,1,466,877,474
392711305,67582,-0.0288,-0.0498,1.0200,-0.3052,-0.2441,-0.0610,1,465,877,474
392716302,67583,-0.0273,-0.0493,1.0215,-0.2441,-0.3052,-0.1221,1,483,877,474
392721302,67584,-0.0259,-0.0479,1.0234,-0.3052,-0.2441,-0.1831,1,465,865,474
392726301,67585,-0.0264,-0.0464,1.0239,-0.3662,-0.1221,-0.2441,1,484,866,474
392731301,67586,-0.0278,-0.0474,1.0229,-0.3052,-0.2441,-0.2441,1,467,906,474
392736303,67587,-0.0283,-0.0479,1.0225,-0.2441,-0.3052,-0.3662,1,472,871,474
392741306,67588,-0.0273,-0.0464,1.0229,-0.1831,-0.2441,-0.1831,1,472,876,474
392746310,67589,-0.0269,-0.0449,1.0234,-0.3052,-0.2441,-0.3052,1,472,883,474
392751309,67590,-0.0254,-0.0449,1.0229,-0.3662,-0.2441,-0.3662,1,495,872,474
392756303,67591,-0.0259,-0.0464,1.0239,-0.4883,-0.2441,-0.2441,1,501,866,474
392761302,67592,-0.0259,-0.0474,1.0259,-0.6104,-0.1831,-0.1831,1,506,861,474
392766303,67593,-0.0249,-0.0469,1.0259,-0.5493,0.0000,-0.1221,1,464,855,474
392771308,67594,-0.0244,-0.0459,1.0239,-0.5493,0.0610,-0.1221,1,492,799,474
392776303,67595,-0.0249,-0.0464,1.0220,-0.6104,0.1221,-0.2441,1,477,847,474
392781302,67596,-0.0249,-0.0469,1.0215,-0.5493,0.2441,-0.1221,1,490,845,474
392786301,67597,-0.0244,-0.0464,1.0215,-0.6714,0.3052,-0.2441,1,491,850,474
392791310,67598,-0.0254,-0.0469,1.0220,-0.6714,0.3662,-0.3052,1,479,845,474
392796302,67599,-0.0278,-0.0488,1.0215,-0.6714,0.3662,-0.2441,1,492,840,474
392801302,67600,-0.0288,-0.0493,1.0220,-0.5493,0.3662,-0.2441,1,466,882,474
392806304,67601,-0.0283,-0.0479,1.0220,-0.5493,0.3052,-0.3052,1,466,886,474
392811301,67602,-0.0273,-0.0479,1.0220,-0.5493,0.5493,-0.1831,1,466,872,474
392816305,67603,-0.0278,-0.0488,1.0220,-0.4272,0.5493,-0.1221,1,466,883,474
392821305,67604,-0.0273,-0.0483,1.0225,-0.4883,0.4883,-0.1221,1,483,881,474
392826306,67605,-0.0269,-0.0479,1.0234,-0.4883,0.4883,-0.1221,1,466,864,474
392831307,67606,-0.0278,-0.0493,1.0229,-0.4883,0.4272,-0.1221,1,485,861,474
392836303,67607,-0.0293,-0.0503,1.0205,-0.4883,0.3662,-0.1221,1,465,879,474
