t_us, seq, ax, ay, az, gx, gy, gz, valid, t_imu_us, t_serial_us, missed
1293818932,254657,-0.0278,-0.0229,1.0186,-0.1221,0.0000,-0.5493,1,488,845,962
1293823923,254658,-0.0298,-0.0215,1.0176,-0.2441,-0.0610,-0.4883,1,483,804,962
1293828930,254659,-0.0298,-0.0210,1.0195,-0.3662,-0.0610,-0.4883,1,511,846,962
1293833931,254660,-0.0288,-0.0229,1.0220,-0.4272,-0.2441,-0.4272,1,466,865,962
1293838927,254661,-0.0278,-0.0249,1.0229,-0.3052,-0.1831,-0.4272,1,484,874,962
1293843925,254662,-0.0273,-0.0234,1.0220,-0.2441,0.0000,-0.4883,1,465,882,962
1293848926,254663,-0.0278,-0.0210,1.0210,-0.2441,-0.1221,-0.4883,1,473,823,962
1293853929,254664,-0.0283,-0.0205,1.0234,-0.4272,-0.0610,-0.3662,1,470,865,962
1293858924,254665,-0.0273,-0.0225,1.0249,-0.4272,0.0000,-0.3662,1,467,882,962
1293863929,254666,-0.0273,-0.0254,1.0244,-0.3052,0.0610,-0.4883,1,470,818,962
1293868930,254667,-0.0288,-0.0264,1.0220,-0.3662,0.0610,-0.4272,1,482,856,962
1293873922,254668,-0.0303,-0.0264,1.0195,-0.3662,-0.0610,-0.4272,1,481,861,962
1293878927,254669,-0.0298,-0.0259,1.0200,-0.2441,-0.3052,-0.4883,1,483,860,962
1293883925,254670,-0.0273,-0.0239,1.0225,0.0000,-0.3052,-0.4272,1,466,874,962
1293888923,254671,-0.0244,-0.0225,1.0239,-0.1221,-0.2441,-0.4272,1,466,831,962
1293893931,254672,-0.0229,-0.0229,1.0259,-0.2441,-0.1221,-0.5493,1,466,881,962
1293898929,254673,-0.0244,-0.0249,1.0259,-0.2441,0.0000,-0.3662,1,493,883,962
1293903929,254674,-0.0259,-0.0254,1.0249,-0.2441,0.0000,-0.3052,1,485,762,962
1293908930,254675,-0.0254,-0.0244,1.0244,-0.0610,0.0000,-0.3662,1,466,783,962
1293913926,254676,-0.0259,-0.0234,1.0244,-0.1831,0.1221,-0.3662,1,466,806,962
1293918925,254677,-0.0264,-0.0239,1.0244,-0.2441,0.1221,-0.4883,1,488,862,962
1293923925,254678,-0.0259,-0.0244,1.0244,-0.2441,0.1831,-0.3662,1,491,851,962
1293928928,254679,-0.0249,-0.0225,1.0259,-0.3052,0.1831,-0.3052,1,474,857,962
1293933924,254680,-0.0254,-0.0220,1.0269,-0.4272,0.3052,-0.2441,1,474,844,962
1293938930,254681,-0.0269,-0.0229,1.0244,-0.3662,0.3052,-0.3052,1,481,847,962
1293943930,254682,-0.0283,-0.0229,1.0210,-0.3052,0.3052,-0.3052,1,493,847,962
1293948928,254683,-0.0288,-0.0234,1.0186,-0.3662,0.1831,-0.2441,1,510,840,962
1293953928,254684,-0.0288,-0.0239,1.0195,-0.3662,0.0610,-0.3052,1,466,882,962
1293958931,254685,-0.0288,-0.0239,1.0210,-0.2441,0.0610,-0.1221,1,484,868,962
1293963928,254686,-0.0283,-0.0239,1.0210,-0.1831,0.1221,-0.3052,1,465,875,962
1293968922,254687,-0.0278,-0.0254,1.0200,-0.0610,0.0610,-0.3052,1,472,931,962
1293973924,254688,-0.0278,-0.0273,1.0200,0.0000,0.0000,-0.3052,1,477,859,962
1293978925,254689,-0.0293,-0.0273,1.0215,0.1831,-0.1831,-0.2441,1,476,765,962
1293983924,254690,-0.0288,-0.0269,1.0220,0.3052,-0.3052,-0.3662,1,472,837,962
1293988922,254691,-0.0273,-0.0269,1.0220,0.2441,-0.3662,-0.4272,1,474,855,962
1293993928,254692,-0.0278,-0.0269,1.0215,0.3052,-0.4272,-0.4272,1,470,865,962
1293998925,254693,-0.0283,-0.0254,1.0195,0.5493,-0.4272,-0.3052,1,483,861,962
1294003939,254694,-0.0288,-0.0234,1.0200,0.5493,-0.3052,-0.3052,1,466,879,962
1294008930,254695,-0.0278,-0.0234,1.0220,0.4272,-0.3052,-0.4272,1,466,875,962
1294013930,254696,-0.0269,-0.0234,1.0234,0.4883,-0.4272,-0.4272,1,493,879,962
1294018923,254697,-0.0259,-0.0220,1.0229,0.3662,-0.3662,-0.3052,1,494,881,962
1294023926,254698,-0.0249,-0.0210,1.0234,0.2441,-0.3662,-0.2441,1,494,879,962
1294028923,254699,-0.0249,-0.0210,1.0249,0.3662,-0.3662,-0.2441,1,464,810,962
1294033930,254700,-0.0239,-0.0220,1.0264,0.1831,-0.2441,-0.3052,1,482,866,962
1294038927,254701,-0.0244,-0.0220,1.0273,0.2441,-0.2441,-0.3052,1,479,851,962
1294043925,254702,-0.0259,-0.0220,1.0254,0.1221,-0.1221,-0.1831,1,488,853,962
1294048925,254703,-0.0269,-0.0225,1.0234,0.1221,-0.1221,-0.1831,1,490,865,962
1294053928,254704,-0.0264,-0.0229,1.0225,0.1221,-0.1831,-0.2441,1,471,845,962
1294058923,254705,-0.0249,-0.0234,1.0239,0.1831,-0.1221,-0.3662,1,471,850,962
1294063924,254706,-0.0254,-0.0239,1.0234,0.2441,-0.0610,-0.2441,1,510,855,962
1294068927,254707,-0.0269,-0.0234,1.0215,0.1831,-0.0610,-0.2441,1,466,882,962
1294073922,254708,-0.0288,-0.0234,1.0186,0.1831,0.0000,-0.3052,1,484,865,962
1294078931,254709,-0.0298,-0.0254,1.0161,0.2441,-0.0610,-0.3052,1,465,820,962
1294083922,254710,-0.0288,-0.0269,1.0176,0.5493,-0.2441,-0.3052,1,469,930,962
1294088923,254711,-0.0278,-0.0244,1.0205,0.6714,-0.2441,-0.3662,1,475,868,962
1294093930,254712,-0.0278,-0.0215,1.0210,0.6104,-0.2441,-0.3662,1,474,883,962
1294098929,254713,-0.0293,-0.0205,1.0215,0.4883,-0.3052,-0.4272,1,465,876,962
1294103929,254714,-0.0278,-0.0225,1.0225,0.4883,-0.6104,-0.4883,1,482,856,962
1294108924,254715,-0.0254,-0.0239,1.0220,0.5493,-0.6104,-0.5493,1,480,856,962
1294113930,254716,-0.0234,-0.0225,1.0229,0.5493,-0.5493,-0.5493,1,484,861,962
1294118926,254717,-0.0225,-0.0205,1.0244,0.4272,-0.3662,-0.6104,1,466,867,962
1294123957,254718,-0.0239,-0.0210,1.0244,0.5493,-0.4272,-0.6104,1,466,879,962
1294128922,254719,-0.0254,-0.0220,1.0239,0.4883,-0.6104,-0.4883,1,466,879,962
1294133922,254720,-0.0249,-0.0225,1.0234,0.2441,-0.4272,-0.5493,1,466,872,962
1294138928,254721,-0.0234,-0.0215,1.0234,0.2441,-0.3052,-0.6104,1,490,885,962
1294143929,254722,-0.0244,-0.0210,1.0234,0.3662,-0.3052,-0.5493,1,466,799,962
1294148928,254723,-0.0269,-0.0215,1.0215,0.3052,-0.3052,-0.5493,1,464,831,962
1294153930,254724,-0.0273,-0.0220,1.0205,0.2441,-0.3662,-0.4883,1,483,842,962
1294158925,254725,-0.0259,-0.0210,1.0205,0.1221,-0.3052,-0.5493,1,483,853,962
1294163923,254726,-0.0264,-0.0200,1.0210,0.1221,-0.3052,-0.5493,1,491,842,962
1294168922,254727,-0.0288,-0.0210,1.0205,0.1221,-0.4883,-0.5493,1,475,840,962
1294173925,254728,-0.0288,-0.0229,1.0195,0.0610,-0.4883,-0.4883,1,478,848,962
1294178924,254729,-0.0254,-0.0239,1.0205,0.1831,-0.4883,-0.4883,1,492,852,962
1294183929,254730,-0.0229,-0.0229,1.0225,0.2441,-0.4883,-0.4883,1,509,849,962
1294188929,254731,-0.0234,-0.0220,1.0229,0.2441,-0.4272,-0.6104,1,466,877,962
1294193925,254732,-0.0244,-0.0210,1.0229,0.1831,-0.3662,-0.6104,1,484,868,962
1294198928,254733,-0.0239,-0.0205,1.0229,0.0000,-0.3052,-0.6714,1,466,879,962
1294203923,254734,-0.0234,-0.0225,1.0225,0.1831,-0.3662,-0.5493,1,482,820,962
1294208924,254735,-0.0244,-0.0234,1.0215,0.2441,-0.2441,-0.6714,1,482,870,962
1294213929,254736,-0.0254,-0.0225,1.0205,0.1831,-0.3662,-0.6714,1,479,871,962
1294218923,254737,-0.0264,-0.0225,1.0200,0.3052,-0.5493,-0.4883,1,468,877,962
1294223922,254738,-0.0259,-0.0234,1.0215,0.3052,-0.6104,-0.6104,1,474,854,962
1294228925,254739,-0.0244,-0.0244,1.0234,0.4272,-0.6714,-0.6714,1,472,849,962
1294233929,254740,-0.0239,-0.0244,1.0229,0.4883,-0.6104,-0.6714,1,478,864,962
1294238931,254741,-0.0254,-0.0249,1.0200,0.5493,-0.7935,-0.7324,1,483,860,962
1294243928,254742,-0.0278,-0.0244,1.0181,0.4883,-0.8545,-0.7324,1,466,879,962
1294248926,254743,-0.0298,-0.0234,1.0181,0.4883,-1.0376,-0.8545,1,465,879,962
1294253930,254744,-0.0273,-0.0239,1.0205,0.6104,-1.1597,-0.7935,1,466,870,962
1294258924,254745,-0.0239,-0.0229,1.0229,0.7324,-1.2207,-0.6714,1,466,876,962
1294263927,254746,-0.0229,-0.0215,1.0249,0.4883,-1.1597,-0.6104,1,493,885,962
1294268927,254747,-0.0220,-0.0210,1.0273,0.4272,-1.1597,-0.7324,1,464,828,962
1294273930,254748,-0.0220,-0.0205,1.0278,0.3662,-1.0376,-0.7324,1,482,813,962
1294278931,254749,-0.0229,-0.0210,1.0269,0.3662,-0.8545,-0.6104,1,482,854,962
1294283923,254750,-0.0225,-0.0215,1.0254,0.4272,-0.7935,-0.6104,1,476,846,962
1294288931,254751,-0.0220,-0.0220,1.0234,0.3052,-0.7324,-0.6104,1,489,872,962
1294293924,254752,-0.0220,-0.0225,1.0229,0.2441,-0.7324,-0.6104,1,486,846,962
1294298923,254753,-0.0220,-0.0229,1.0234,0.2441,-0.6104,-0.6714,1,470,850,962
1294303929,254754,-0.0225,-0.0220,1.0239,0.1831,-0.6104,-0.5493,1,510,850,962
1294308923,254755,-0.0229,-0.0215,1.0239,0.3052,-0.5493,-0.4883,1,465,878,962
