t_us, seq, ax, ay, az, gx, gy, gz, valid, t_imu_us, t_serial_us, missed
1847868929,364739,-0.0083,0.0269,1.0225,0.1831,0.9766,-0.4272,1,483,855,1690
1847873927,364740,-0.0078,0.0269,1.0220,0.3052,0.9155,-0.5493,1,466,877,1690
1847878928,364741,-0.0078,0.0273,1.0220,0.3052,0.9155,-0.4883,1,465,875,1690
1847883926,364742,-0.0093,0.0273,1.0210,0.1221,0.7324,-0.3662,1,466,876,1690
1847888924,364743,-0.0098,0.0278,1.0210,0.1831,0.6714,-0.1831,1,466,875,1690
1847893923,364744,-0.0093,0.0288,1.0210,0.2441,0.8545,-0.3662,1,466,876,1690
1847898927,364745,-0.0098,0.0283,1.0205,0.0610,0.7935,-0.4272,1,493,876,1690
1847903926,364746,-0.0088,0.0269,1.0210,0.1831,0.6104,-0.3662,1,470,873,1690
1847908927,364747,-0.0073,0.0269,1.0225,0.1221,0.6104,-0.3662,1,494,870,1690
1847913925,364748,-0.0073,0.0273,1.0229,0.1221,0.6104,-0.3662,1,490,795,1690
1847918928,364749,-0.0073,0.0278,1.0225,0.0610,0.7324,-0.4272,1,473,847,1690
1847923929,364750,-0.0073,0.0278,1.0210,0.0610,0.7324,-0.4272,1,478,850,1690
1847928926,364751,-0.0068,0.0273,1.0215,0.0610,0.7324,-0.4272,1,509,848,1690
1847933927,364752,-0.0083,0.0283,1.0239,0.0000,0.7935,-0.3662,1,474,837,1690
1847938923,364753,-0.0098,0.0288,1.0244,0.0000,0.7324,-0.3662,1,506,805,1690
1847943930,364754,-0.0088,0.0278,1.0220,-0.1831,0.7324,-0.3662,1,501,795,1690
1847948923,364755,-0.0093,0.0273,1.0220,-0.1831,0.7935,-0.3052,1,472,841,1690
1847953929,364756,-0.0098,0.0264,1.0220,-0.1221,0.6714,-0.3662,1,483,868,1690
1847958926,364757,-0.0088,0.0269,1.0220,-0.1831,0.7324,-0.3052,1,481,823,1690
1847963923,364758,-0.0078,0.0283,1.0225,-0.1831,0.7324,-0.3052,1,467,856,1690
1847968930,364759,-0.0068,0.0278,1.0225,-0.0610,0.6714,-0.3052,1,471,860,1690
1847973924,364760,-0.0078,0.0264,1.0220,-0.1221,0.7324,-0.2441,1,483,853,1690
1847978928,364761,-0.0088,0.0264,1.0225,-0.1221,0.7324,-0.3052,1,466,876,1690
1847983930,364762,-0.0088,0.0264,1.0225,0.0000,0.7324,-0.3052,1,466,869,1690
1847988924,364763,-0.0083,0.0264,1.0229,0.0000,0.7935,-0.1831,1,466,825,1690
1847993936,364764,-0.0073,0.0269,1.0244,0.0000,0.7324,-0.3052,1,466,833,1690
1847998930,364765,-0.0078,0.0278,1.0234,0.0000,0.7935,-0.3052,1,466,829,1690
1848003926,364766,-0.0098,0.0278,1.0210,0.1221,0.7324,-0.3052,1,493,828,1690
1848008922,364767,-0.0103,0.0273,1.0195,0.0610,0.6104,-0.3662,1,479,868,1690
1848013927,364768,-0.0093,0.0273,1.0215,0.2441,0.6104,-0.3052,1,464,772,1690
1848018925,364769,-0.0093,0.0273,1.0229,0.2441,0.7324,-0.4272,1,466,851,1690
