t_us, seq, ax, ay, az, gx, gy, gz, valid, t_imu_us, t_serial_us, missed
2204753925,434654,-0.0308,0.0029,1.0195,0.0000,0.6714,-0.4883,1,466,832,3152
2204758929,434655,-0.0303,0.0024,1.0186,0.1831,0.6714,-0.5493,1,466,827,3152
2204763928,434656,-0.0278,0.0034,1.0215,0.1831,0.4883,-0.4883,1,492,876,3152
2204768937,434657,-0.0254,0.0034,1.0249,0.0610,0.5493,-0.4272,1,470,876,3152
2204773930,434658,-0.0249,0.0044,1.0259,0.1221,0.6104,-0.4272,1,494,877,3152
2204778926,434659,-0.0254,0.0049,1.0254,0.1221,0.6104,-0.4883,1,486,850,3152
2204783922,434660,-0.0269,0.0034,1.0254,-0.1221,0.6714,-0.4883,1,474,805,3152
2204788922,434661,-0.0269,0.0039,1.0244,0.0000,0.6104,-0.4272,1,510,831,3152
2204793924,434662,-0.0254,0.0039,1.0234,0.0000,0.6714,-0.4272,1,494,789,3152
2204798928,434663,-0.0249,0.0029,1.0225,-0.0610,0.7324,-0.3052,1,491,800,3152
2204803927,434664,-0.0254,0.0024,1.0225,-0.1831,0.7324,-0.3662,1,495,843,3152
2204808926,434665,-0.0264,0.0039,1.0244,-0.1221,0.6714,-0.3662,1,503,849,3152
2204813928,434666,-0.0278,0.0044,1.0249,-0.1221,0.6104,-0.2441,1,481,855,3152
2204818923,434667,-0.0283,0.0054,1.0234,-0.0610,0.6104,-0.1831,1,477,856,3152
2204823930,434668,-0.0278,0.0059,1.0215,-0.0610,0.6714,-0.3052,1,484,856,3152
2204828929,434669,-0.0269,0.0049,1.0215,-0.1221,0.5493,-0.3662,1,466,867,3152
2204833922,434670,-0.0264,0.0044,1.0234,-0.0610,0.6104,-0.2441,1,466,873,3152
2204838931,434671,-0.0254,0.0039,1.0234,-0.0610,0.6714,-0.2441,1,466,873,3152
2204843930,434672,-0.0249,0.0029,1.0220,0.1221,0.5493,-0.2441,1,466,877,3152
2204848927,434673,-0.0259,0.0024,1.0220,0.0000,0.5493,-0.3052,1,466,878,3152
2204853925,434674,-0.0278,0.0029,1.0215,0.0000,0.7324,-0.4272,1,466,829,3152
2204858923,434675,-0.0283,0.0029,1.0205,0.0610,0.7935,-0.3662,1,466,833,3152
2204863946,434676,-0.0269,0.0029,1.0215,0.0610,0.6714,-0.3662,1,466,876,3152
2204868924,434677,-0.0254,0.0039,1.0229,0.0610,0.7324,-0.3662,1,466,871,3152
2204873928,434678,-0.0254,0.0059,1.0239,0.0000,0.7324,-0.3052,1,465,876,3152
2204878945,434679,-0.0264,0.0063,1.0234,0.0000,0.7935,-0.3052,1,489,720,3152
2204883922,434680,-0.0283,0.0049,1.0220,0.0610,0.9155,-0.5493,1,494,778,3152
2204888924,434681,-0.0303,0.0034,1.0205,0.0610,0.7935,-0.3052,1,491,828,3152
