t_us, seq, ax, ay, az, gx, gy, gz, valid, t_imu_us, t_serial_us, missed
2282593922,449977,-0.0322,-0.0088,1.0205,-0.7324,0.4883,-0.3052,1,487,843,3397
2282598929,449978,-0.0322,-0.0078,1.0215,-0.7324,0.4883,-0.3662,1,471,845,3397
2282603926,449979,-0.0317,-0.0083,1.0215,-0.5493,0.4883,-0.3052,1,493,852,3397
2282608926,449980,-0.0312,-0.0098,1.0229,-0.5493,0.4883,-0.2441,1,466,848,3397
2282613940,449981,-0.0312,-0.0088,1.0234,-0.6714,0.4883,-0.3052,1,466,905,3397
2282618925,449982,-0.0312,-0.0083,1.0225,-0.6714,0.1831,-0.3052,1,466,897,3397
2282623929,449983,-0.0308,-0.0103,1.0210,-0.6714,0.2441,-0.3052,1,484,900,3397
2282628922,449984,-0.0303,-0.0112,1.0205,-0.7324,0.3052,-0.3662,1,473,860,3397
2282633923,449985,-0.0303,-0.0103,1.0225,-0.6104,0.2441,-0.3662,1,466,875,3397
2282638931,449986,-0.0303,-0.0093,1.0244,-0.5493,0.1831,-0.4272,1,483,901,3397
2282643922,449987,-0.0293,-0.0093,1.0249,-0.5493,0.0610,-0.3662,1,479,868,3397
2282648922,449988,-0.0293,-0.0098,1.0234,-0.6104,0.3052,-0.2441,1,467,868,3397
2282653931,449989,-0.0298,-0.0103,1.0220,-0.5493,0.3052,-0.2441,1,469,870,3397
2282658948,449990,-0.0298,-0.0103,1.0229,-0.5493,0.3662,-0.3052,1,482,858,3397
2282663922,449991,-0.0298,-0.0088,1.0239,-0.6104,0.4272,-0.3662,1,469,859,3397
2282668927,449992,-0.0312,-0.0088,1.0239,-0.6714,0.4272,-0.3052,1,511,858,3397
2282673922,449993,-0.0317,-0.0093,1.0234,-0.5493,0.4272,-0.3052,1,486,881,3397
2282678931,449994,-0.0312,-0.0107,1.0234,-0.5493,0.4272,-0.3052,1,494,877,3397
2282683928,449995,-0.0322,-0.0117,1.0229,-0.4272,0.2441,-0.3662,1,471,802,3397
2282688923,449996,-0.0327,-0.0112,1.0210,-0.4272,0.2441,-0.3662,1,484,860,3397
2282693929,449997,-0.0322,-0.0112,1.0200,-0.3662,0.0610,-0.3052,1,475,857,3397
2282698925,449998,-0.0298,-0.0107,1.0215,-0.4272,0.1221,-0.3052,1,478,848,3397
2282703929,449999,-0.0283,-0.0103,1.0220,-0.4272,0.2441,-0.1831,1,488,844,3397
