t_us, seq, ax, ay, az, gx, gy, gz, valid, t_imu_us, t_serial_us, missed
124629611,7201,-0.0562,-0.1060,1.0156,0.0610,0.5493,-0.4883,1,465,902,232
124634617,7202,-0.0557,-0.1050,1.0146,0.0610,0.6104,-0.3662,1,469,866,232
124639610,7203,-0.0562,-0.1040,1.0146,-0.0610,0.6714,-0.4272,1,465,871,232
124644635,7204,-0.0562,-0.1050,1.0161,-0.1831,0.6104,-0.4272,1,470,874,232
124649608,7205,-0.0562,-0.1050,1.0181,-0.1221,0.7935,-0.3662,1,472,876,232
124654616,7206,-0.0562,-0.1055,1.0186,-0.1831,0.8545,-0.4272,1,502,852,232
124659612,7207,-0.0552,-0.1074,1.0171,-0.1831,0.9766,-0.3662,1,484,857,232
124664613,7208,-0.0547,-0.1089,1.0166,-0.1831,0.9766,-0.4272,1,511,857,232
124669613,7209,-0.0562,-0.1084,1.0166,-0.1221,0.9766,-0.3662,1,476,857,232
124674613,7210,-0.0566,-0.1084,1.0171,-0.1831,1.0986,-0.4272,1,488,845,232
124679610,7211,-0.0562,-0.1084,1.0171,-0.1831,0.9766,-0.4272,1,475,852,232
124684608,7212,-0.0562,-0.1050,1.0156,-0.1831,0.7935,-0.2441,1,476,872,232
124689609,7213,-0.0566,-0.1021,1.0151,-0.3662,0.9155,-0.3052,1,490,851,232
124694609,7214,-0.0571,-0.1035,1.0151,-0.3662,0.8545,-0.2441,1,472,850,232
124699612,7215,-0.0576,-0.1050,1.0161,-0.2441,0.9766,-0.2441,1,493,857,232
124704611,7216,-0.0576,-0.1055,1.0171,-0.3662,0.8545,-0.1831,1,465,882,232
124709616,7217,-0.0557,-0.1055,1.0181,-0.4272,0.6714,-0.2441,1,465,878,232
124714616,7218,-0.0537,-0.1021,1.0176,-0.3052,0.9155,-0.1831,1,466,874,232
124719608,7219,-0.0557,-0.1006,1.0156,-0.4883,0.9766,-0.1831,1,466,875,232
124724614,7220,-0.0571,-0.1050,1.0137,-0.3662,0.9155,-0.1221,1,466,872,232
124729611,7221,-0.0566,-0.1074,1.0142,-0.3052,1.0376,-0.1221,1,484,868,232
124734608,7222,-0.0566,-0.1055,1.0156,-0.3662,0.9155,-0.1831,1,465,901,232
124739611,7223,-0.0586,-0.1045,1.0142,-0.3052,0.9766,-0.1831,1,482,924,232
124744608,7224,-0.0605,-0.1050,1.0122,-0.3052,0.6714,-0.1831,1,482,860,232
124749611,7225,-0.0586,-0.1055,1.0132,-0.2441,0.6104,-0.2441,1,467,873,232
124754614,7226,-0.0562,-0.1040,1.0142,-0.3662,0.7324,-0.3662,1,468,856,232
124759614,7227,-0.0571,-0.1035,1.0151,-0.3662,0.6714,-0.2441,1,495,860,232
124764612,7228,-0.0591,-0.1060,1.0146,-0.3662,0.7324,-0.2441,1,483,865,232
124769614,7229,-0.0605,-0.1074,1.0137,-0.1831,0.5493,-0.3052,1,511,860,232
124774613,7230,-0.0601,-0.1074,1.0132,-0.1221,0.4272,-0.3662,1,477,873,232
124779611,7231,-0.0571,-0.1079,1.0156,-0.1831,0.4272,-0.3662,1,486,854,232
124784617,7232,-0.0542,-0.1074,1.0190,-0.1831,0.4272,-0.4272,1,488,858,232
124789615,7233,-0.0542,-0.1064,1.0195,-0.1221,0.6104,-0.4272,1,491,853,232
124794608,7234,-0.0557,-0.1069,1.0176,-0.1221,0.6714,-0.3662,1,478,845,232
124799615,7235,-0.0571,-0.1074,1.0161,0.0610,0.6714,-0.2441,1,469,846,232
124804609,7236,-0.0576,-0.1060,1.0156,0.1221,0.4883,-0.1831,1,493,852,232
124809612,7237,-0.0576,-0.1040,1.0171,0.0610,0.3662,-0.1831,1,466,876,232
124814609,7238,-0.0571,-0.1040,1.0195,0.0000,0.2441,-0.1831,1,466,877,232
124819613,7239,-0.0566,-0.1055,1.0186,0.0000,0.2441,-0.2441,1,465,837,232
124824610,7240,-0.0562,-0.1069,1.0171,0.0000,0.4272,-0.2441,1,466,864,232
124829614,7241,-0.0571,-0.1064,1.0161,-0.0610,0.3052,-0.2441,1,466,820,232
124834611,7242,-0.0586,-0.1055,1.0156,0.0610,0.3052,-0.3052,1,484,868,232
124839609,7243,-0.0596,-0.1040,1.0156,0.1221,0.1831,-0.3052,1,465,896,232
124844610,7244,-0.0596,-0.1025,1.0181,0.0610,0.1831,-0.3052,1,480,932,232
124849613,7245,-0.0581,-0.1055,1.0195,0.0000,0.1831,-0.2441,1,483,860,232
124854614,7246,-0.0562,-0.1084,1.0186,0.1221,0.3662,-0.3662,1,466,817,232
124859616,7247,-0.0552,-0.1069,1.0171,0.2441,0.1831,-0.2441,1,466,854,232
124864609,7248,-0.0542,-0.1045,1.0176,0.2441,0.2441,-0.3662,1,466,860,232
124869614,7249,-0.0552,-0.1045,1.0181,0.1831,0.3662,-0.3662,1,483,859,232
124874615,7250,-0.0571,-0.1074,1.0171,0.2441,0.3052,-0.1831,1,511,856,232
124879610,7251,-0.0581,-0.1084,1.0161,0.4272,0.2441,-0.3662,1,471,801,232
124884612,7252,-0.0576,-0.1069,1.0171,0.4883,0.1221,-0.3662,1,484,864,232
124889615,7253,-0.0581,-0.1064,1.0171,0.2441,0.1831,-0.3052,1,479,847,232
124894612,7254,-0.0610,-0.1064,1.0142,0.3052,0.0610,-0.3662,1,486,849,232
124899609,7255,-0.0615,-0.1074,1.0137,0.4883,-0.3052,-0.3052,1,475,844,232
124904608,7256,-0.0591,-0.1069,1.0146,0.4883,-0.3052,-0.3052,1,487,845,232
124909616,7257,-0.0566,-0.1050,1.0166,0.4272,-0.1831,-0.3052,1,493,841,232
124914613,7258,-0.0557,-0.1025,1.0176,0.3052,-0.1831,-0.3662,1,466,877,232
124919617,7259,-0.0557,-0.1021,1.0181,0.2441,-0.0610,-0.1221,1,465,879,232
124924620,7260,-0.0566,-0.1035,1.0176,0.3662,0.0000,-0.1831,1,466,867,232
124929608,7261,-0.0566,-0.1055,1.0176,0.1831,0.0000,-0.1221,1,466,837,232
124934616,7262,-0.0571,-0.1064,1.0176,0.1831,0.1221,-0.1221,1,484,829,232
124939614,7263,-0.0576,-0.1045,1.0176,0.2441,0.0000,-0.1831,1,466,863,232
124944611,7264,-0.0576,-0.1045,1.0176,0.1831,-0.1221,-0.1831,1,484,832,232
124949610,7265,-0.0571,-0.1069,1.0171,0.0610,-0.0610,-0.1831,1,466,905,232
124954608,7266,-0.0586,-0.1060,1.0166,0.1831,-0.0610,-0.0610,1,468,865,232
