t_us, seq, ax, ay, az, gx, gy, gz, valid, t_imu_us, t_serial_us, missed
57727541,10,-0.0405,0.0381,1.0146,-0.5493,0.4883,-0.2441,1,494,845,0
57732536,11,-0.0415,0.0381,1.0156,-0.4272,0.4272,-0.2441,1,466,845,0
57737537,12,-0.0405,0.0386,1.0181,-0.4272,0.3052,-0.1831,1,466,876,0
57742536,13,-0.0386,0.0386,1.0186,-0.3052,0.2441,-0.1831,1,465,868,0
57747539,14,-0.0381,0.0376,1.0181,-0.1221,0.3052,-0.2441,1,466,900,0
57752559,15,-0.0376,0.0391,1.0205,-0.1831,0.1831,-0.1831,1,466,861,0
57757542,16,-0.0371,0.0415,1.0239,-0.2441,0.4883,-0.1221,1,466,874,0
57762540,17,-0.0376,0.0405,1.0234,-0.1831,0.5493,-0.1831,1,484,904,0
57767540,18,-0.0386,0.0386,1.0195,-0.1831,0.4272,-0.2441,1,480,868,0
57772543,19,-0.0391,0.0361,1.0151,0.0000,0.3052,-0.1831,1,466,876,0
57777569,20,-0.0386,0.0356,1.0146,0.2441,0.2441,-0.1221,1,474,812,0
57782534,21,-0.0381,0.0371,1.0171,0.3662,0.2441,-0.0610,1,479,865,0
57787542,22,-0.0386,0.0391,1.0181,0.4272,0.3052,-0.1831,1,501,859,0
57792535,23,-0.0405,0.0415,1.0181,0.5493,0.2441,-0.3052,1,477,786,0
57797540,24,-0.0415,0.0396,1.0171,0.4272,0.1831,-0.1221,1,465,833,0
57802540,25,-0.0405,0.0361,1.0161,0.6104,0.0610,-0.0610,1,496,821,0
57807535,26,-0.0396,0.0366,1.0156,0.7935,0.0610,0.0000,1,490,821,0
57812543,27,-0.0400,0.0400,1.0176,0.7324,0.0610,-0.1221,1,490,796,0
57817538,28,-0.0405,0.0435,1.0205,0.7324,0.0000,-0.2441,1,485,833,0
57822537,29,-0.0405,0.0435,1.0200,0.6104,0.0000,-0.1831,1,480,798,0
57827543,30,-0.0396,0.0415,1.0200,0.7324,0.0610,-0.1831,1,493,794,0
57832534,31,-0.0376,0.0415,1.0200,0.7324,0.0000,-0.3052,1,466,871,0
57837534,32,-0.0366,0.0425,1.0195,0.5493,-0.1221,-0.2441,1,466,824,0
57842537,33,-0.0381,0.0420,1.0176,0.7935,-0.0610,-0.1831,1,466,876,0
57847539,34,-0.0396,0.0405,1.0161,0.7324,0.1221,-0.2441,1,466,868,0
57852541,35,-0.0400,0.0400,1.0166,0.8545,-0.2441,-0.2441,1,466,872,0
57857534,36,-0.0396,0.0410,1.0186,0.7935,-0.2441,-0.2441,1,483,872,0
57862534,37,-0.0396,0.0420,1.0210,0.7324,-0.3052,-0.1221,1,466,861,0
57867542,38,-0.0400,0.0430,1.0220,0.7324,-0.1831,-0.1221,1,484,855,0
