t_us, seq, ax, ay, az, gx, gy, gz, valid, t_imu_us, t_serial_us, missed
62672689,10,-0.0142,-0.0161,1.0195,0.0000,0.1221,-0.2441,1,505,776,0
62677687,11,-0.0146,-0.0171,1.0205,-0.0610,0.1831,-0.3662,1,483,780,0
62682687,12,-0.0142,-0.0176,1.0220,0.0000,0.2441,-0.2441,1,493,844,0
62687682,13,-0.0132,-0.0181,1.0229,0.0610,0.3052,-0.1221,1,466,827,0
62692690,14,-0.0132,-0.0181,1.0234,0.0610,0.1221,-0.3662,1,466,862,0
62697688,15,-0.0137,-0.0171,1.0220,0.0000,0.0610,-0.2441,1,465,868,0
62702684,16,-0.0142,-0.0166,1.0205,-0.0610,0.2441,-0.1831,1,466,822,0
62707686,17,-0.0146,-0.0166,1.0210,-0.1221,0.2441,-0.2441,1,466,875,0
62712682,18,-0.0146,-0.0166,1.0229,-0.0610,0.2441,-0.2441,1,466,875,0
62717688,19,-0.0142,-0.0166,1.0249,-0.1221,0.1831,-0.2441,1,466,880,0
62722691,20,-0.0142,-0.0166,1.0244,-0.1831,0.1221,-0.3052,1,466,877,0
62727688,21,-0.0137,-0.0161,1.0225,-0.2441,0.1831,-0.2441,1,466,871,0
62732684,22,-0.0142,-0.0161,1.0210,-0.1831,0.2441,-0.2441,1,466,879,0
62737685,23,-0.0142,-0.0176,1.0200,-0.1831,0.2441,-0.3052,1,483,876,0
62742691,24,-0.0137,-0.0181,1.0210,-0.3052,0.2441,-0.3052,1,491,868,0
62747689,25,-0.0132,-0.0181,1.0229,-0.2441,0.1831,-0.2441,1,502,850,0
62752685,26,-0.0127,-0.0181,1.0239,-0.2441,0.3052,-0.4272,1,478,873,0
62757683,27,-0.0127,-0.0176,1.0225,-0.1831,0.2441,-0.3662,1,466,840,0
62762689,28,-0.0137,-0.0161,1.0210,-0.1831,0.2441,-0.3052,1,489,844,0
62767687,29,-0.0137,-0.0146,1.0215,-0.0610,0.1221,-0.2441,1,484,795,0
62772689,30,-0.0137,-0.0146,1.0229,-0.1831,0.1831,-0.4272,1,486,823,0
62777683,31,-0.0132,-0.0151,1.0234,-0.2441,0.2441,-0.3662,1,486,859,0
62782691,32,-0.0122,-0.0156,1.0234,-0.1221,0.1831,-0.3052,1,489,834,0
62787689,33,-0.0122,-0.0171,1.0225,-0.1221,0.1221,-0.3052,1,502,825,0
62792685,34,-0.0127,-0.0181,1.0210,-0.1221,0.3052,-0.3052,1,493,832,0
62797685,35,-0.0132,-0.0171,1.0210,0.0000,0.2441,-0.1831,1,466,854,0
62802682,36,-0.0127,-0.0161,1.0215,0.0000,0.1221,-0.0610,1,466,823,0
62807687,37,-0.0117,-0.0161,1.0215,0.0610,0.1221,-0.1221,1,465,822,0
62812689,38,-0.0122,-0.0166,1.0215,0.1221,0.1831,-0.2441,1,465,866,0
62817684,39,-0.0127,-0.0166,1.0220,0.1831,0.1831,-0.1221,1,466,875,0
62822683,40,-0.0127,-0.0161,1.0220,0.0610,0.2441,-0.1221,1,466,873,0
62827688,41,-0.0132,-0.0161,1.0205,0.0610,0.3052,-0.1221,1,466,870,0
62832689,42,-0.0156,-0.0171,1.0205,0.1831,0.2441,-0.1221,1,466,866,0
62837685,43,-0.0166,-0.0195,1.0205,0.1831,0.1831,-0.1831,1,466,871,0
62842684,44,-0.0156,-0.0200,1.0210,0.1831,0.3052,-0.1221,1,466,881,0
62847699,45,-0.0146,-0.0195,1.0220,0.1221,0.1831,-0.1831,1,483,863,0
62852691,46,-0.0156,-0.0200,1.0220,0.1221,0.2441,-0.0610,1,466,873,0
62857684,47,-0.0171,-0.0186,1.0210,0.1831,0.1831,-0.0610,1,494,856,0
62862685,48,-0.0166,-0.0166,1.0215,0.1221,0.1221,-0.1221,1,487,881,0
62867686,49,-0.0156,-0.0156,1.0215,0.0610,0.3052,-0.2441,1,466,837,0
62872688,50,-0.0151,-0.0161,1.0215,0.1221,0.2441,-0.1221,1,491,847,0
62877683,51,-0.0146,-0.0176,1.0215,0.0610,0.1221,-0.0610,1,494,796,0
