t_us,seq,ax,ay,az,gx,gy,gz,valid,t_imu_us,t_serial_us,missed
138467484,0,-0.0249,-0.1426,1.0156,0.3052,0.0000,-0.1831,1,467,0,0
138473416,1,-0.0249,-0.1411,1.0176,0.0610,0.1221,-0.2441,1,466,0,0
138478785,2,-0.0259,-0.1421,1.0181,0.1221,0.1831,-0.2441,1,467,0,0
138481017,3,-0.0259,-0.1421,1.0181,0.1221,0.1831,-0.2441,1,506,0,0
138484407,4,-0.0259,-0.1436,1.0176,0.1221,0.3052,-0.2441,1,466,0,0
138490414,5,-0.0259,-0.1445,1.0161,0.0610,0.1221,-0.1831,1,466,0,0
138494407,6,-0.0273,-0.1440,1.0137,0.0000,0.1221,-0.1831,1,466,0,0
138499406,7,-0.0278,-0.1431,1.0122,0.0610,0.1831,-0.1831,1,466,0,0
138506397,8,-0.0269,-0.1426,1.0132,-0.0610,0.2441,-0.1221,1,466,0,0
138512417,9,-0.0283,-0.1436,1.0137,-0.0610,0.3052,-0.1221,1,466,0,0
138518398,10,-0.0283,-0.1440,1.0132,-0.0610,0.3052,-0.1831,1,466,0,0
138520746,11,-0.0283,-0.1440,1.0132,-0.0610,0.3052,-0.1831,1,483,0,0
138526423,12,-0.0273,-0.1440,1.0127,0.1221,0.1831,-0.3052,1,467,0,0
138530818,13,-0.0273,-0.1440,1.0127,0.1221,0.1831,-0.3052,1,481,0,0
138537402,14,-0.0283,-0.1421,1.0127,0.0610,0.0000,-0.1831,1,466,0,0
138540709,15,-0.0283,-0.1421,1.0127,0.0610,0.0000,-0.1831,1,466,0,0
138547411,16,-0.0278,-0.1421,1.0137,0.0000,0.2441,-0.1831,1,466,0,0
138549711,17,-0.0278,-0.1421,1.0137,0.0000,0.2441,-0.1831,1,466,0,0
138556413,18,-0.0269,-0.1431,1.0137,0.3052,0.1221,-0.1831,1,466,0,0
138559405,19,-0.0269,-0.1431,1.0137,0.3052,0.1221,-0.1831,1,466,0,0
138564409,20,-0.0269,-0.1440,1.0132,0.2441,0.0610,-0.2441,1,466,0,0
138571399,21,-0.0269,-0.1431,1.0132,0.3052,0.2441,-0.1831,1,466,0,0
138578416,22,-0.0269,-0.1431,1.0142,0.3052,0.1221,-0.2441,1,466,0,0
138579741,23,-0.0269,-0.1431,1.0142,0.3052,0.1221,-0.2441,1,483,0,0
138588105,24,-0.0249,-0.1426,1.0151,0.1831,0.0610,-0.2441,1,558,0,0
138590849,25,-0.0249,-0.1416,1.0166,0.1221,0.1831,-0.1221,1,495,0,0
138594409,26,-0.0249,-0.1416,1.0166,0.1221,0.1831,-0.1221,1,466,0,0
138601395,27,-0.0278,-0.1426,1.0176,0.1221,0.2441,-0.2441,1,466,0,0
138608417,28,-0.0278,-0.1426,1.0166,0.1221,0.2441,-0.2441,1,466,0,0
138612792,29,-0.0283,-0.1431,1.0161,0.1831,0.1831,-0.3052,1,466,0,0
138618408,30,-0.0278,-0.1440,1.0161,0.1221,0.1221,-0.2441,1,466,0,0
138619752,31,-0.0278,-0.1440,1.0161,0.1221,0.1221,-0.2441,1,483,0,0
138627106,32,-0.0264,-0.1431,1.0151,0.2441,0.2441,-0.1831,1,501,0,0
138632418,33,-0.0264,-0.1426,1.0156,0.1221,0.1831,-0.2441,1,466,0,0
138634763,34,-0.0269,-0.1421,1.0161,0.0610,0.2441,-0.3052,1,483,0,0
138640135,35,-0.0273,-0.1421,1.0146,0.1831,0.0610,-0.3052,1,494,0,0
138644399,36,-0.0273,-0.1421,1.0146,0.1831,0.0610,-0.3052,1,467,0,0
138649691,37,-0.0269,-0.1440,1.0137,0.0000,0.2441,-0.1831,1,466,0,0
138654936,38,-0.0283,-0.1431,1.0137,0.0610,0.1221,-0.1831,1,502,0,0
138660400,39,-0.0283,-0.1426,1.0142,0.1831,0.1831,-0.1831,1,466,0,0
138664414,40,-0.0278,-0.1431,1.0137,0.1221,0.1831,-0.1831,1,466,0,0
138670411,41,-0.0269,-0.1436,1.0137,0.1831,0.1221,-0.1831,1,466,0,0
138677414,42,-0.0264,-0.1431,1.0132,0.1221,0.0000,-0.2441,1,466,0,0
138683410,43,-0.0264,-0.1436,1.0132,0.0610,0.1221,-0.2441,1,466,0,0
138688780,44,-0.0278,-0.1440,1.0127,0.1221,0.1221,-0.2441,1,473,0,0
138694428,45,-0.0288,-0.1416,1.0127,0.0610,0.1221,-0.1831,1,466,0,1
138699403,46,-0.0278,-0.1411,1.0132,0.1221,0.1831,-0.2441,1,466,0,1
138704404,47,-0.0278,-0.1411,1.0137,0.1831,0.0610,-0.1831,1,466,0,1
138710418,48,-0.0283,-0.1431,1.0146,0.1221,0.1831,-0.0610,1,466,0,1
138714405,49,-0.0288,-0.1445,1.0151,0.0610,0.0610,-0.2441,1,466,0,1
138720429,50,-0.0288,-0.1440,1.0146,0.0610,0.0000,-0.1831,1,466,0,1
138724760,51,-0.0273,-0.1431,1.0137,0.0610,-0.0610,-0.1831,1,483,0,1
138729404,52,-0.0259,-0.1431,1.0127,0.0610,0.1221,-0.3052,1,466,0,1
138734770,53,-0.0259,-0.1436,1.0122,0.0610,0.0000,-0.2441,1,478,0,1
138741410,54,-0.0269,-0.1436,1.0127,0.2441,0.0610,-0.1221,1,466,0,1
138748398,55,-0.0269,-0.1426,1.0151,0.1221,0.0610,-0.1831,1,466,0,1
138749730,56,-0.0269,-0.1426,1.0151,0.1221,0.0610,-0.1831,1,483,0,1
138754409,57,-0.0254,-0.1436,1.0156,0.1221,0.0610,-0.1831,1,466,0,1
138760749,58,-0.0249,-0.1440,1.0166,0.3052,0.1221,0.0000,1,483,0,1
138764402,59,-0.0249,-0.1436,1.0171,0.3052,0.0000,-0.1221,1,466,0,1
138769486,60,-0.0249,-0.1426,1.0161,0.1831,0.1831,-0.1221,1,466,0,1
138775420,61,-0.0259,-0.1421,1.0146,0.1831,0.2441,-0.1221,1,466,0,1
138782396,62,-0.0264,-0.1426,1.0137,0.3052,0.0000,0.0000,1,466,0,1
138788423,63,-0.0273,-0.1426,1.0161,0.0610,0.1221,-0.2441,1,466,0,1
138791776,64,-0.0273,-0.1426,1.0161,0.0610,0.1221,-0.2441,1,476,0,1
138797425,65,-0.0254,-0.1436,1.0156,0.0000,0.2441,-0.1831,1,466,0,1
138803405,66,-0.0269,-0.1426,1.0142,0.0610,0.1221,-0.1221,1,466,0,1
138806759,67,-0.0269,-0.1426,1.0142,0.0610,0.1221,-0.1221,1,483,0,1
138813399,68,-0.0254,-0.1416,1.0151,0.0610,0.1221,-0.1221,1,466,0,1
138819426,69,-0.0239,-0.1426,1.0161,0.0610,0.0000,-0.1221,1,466,0,2
