t_us,seq,cost_a_avail,cost_a_read,cost_g_avail,cost_g_read,t_imu,t_serial,missed
10277206,83,1129,4228,1099,4213,10773,207,322
10288169,84,1128,4260,1126,4262,10712,225,324
10299239,85,1128,4275,1101,4228,10818,225,325
10310255,86,1127,4221,1100,4216,10773,215,326
10321194,87,1163,4233,1127,4214,10704,207,327
10332235,88,1147,4236,1098,4257,10807,206,328
10343275,89,1100,4210,1097,4217,10779,235,330
10354233,90,1117,4230,1098,4224,10696,235,331
10365206,91,1158,4278,1099,4259,10710,207,332
10376277,92,1100,4213,1100,4213,10837,207,333
10387209,93,1137,4237,1116,4212,10698,206,334
10398204,94,1125,4209,1125,4263,10744,206,336
10409250,95,1129,4257,1113,4213,10794,225,337
10420247,96,1099,4208,1101,4228,10755,215,338
10431187,97,1129,4237,1097,4249,10707,207,339
10442203,98,1129,4268,1101,4287,10755,206,340
10453293,99,1131,4211,1098,4216,10829,235,342
10464252,100,1147,4229,1098,4221,10698,233,343
10475223,101,1128,4251,1099,4228,10736,207,344
10486236,102,1133,4222,1100,4227,10778,207,345
10497222,103,1107,4235,1116,4213,10752,207,346
10508216,104,1128,4231,1126,4263,10743,207,348
10519258,105,1098,4264,1127,4224,10788,225,349
10530294,106,1128,4209,1099,4211,10785,225,350
10541217,107,1169,4233,1123,4228,10689,207,351
10552247,108,1130,4224,1097,4269,10795,207,352
10563289,109,1129,4219,1098,4211,10779,235,354
10574240,110,1129,4211,1137,4235,10700,225,355
10585228,111,1128,4259,1100,4249,10754,208,356
10596269,112,1156,4214,1101,4224,10807,207,357
10607240,113,1132,4236,1116,4213,10736,207,358
10618230,114,1099,4215,1100,4226,10738,207,360
10629191,115,1127,4209,1100,4209,10710,224,361
10640112,116,1163,4229,1127,4221,10688,207,362
10651129,117,1131,4250,1101,4276,10783,207,363
10662191,118,1100,4210,1097,4226,10799,236,364
10673157,119,1146,4230,1098,4208,10705,234,366
10684114,120,1156,4265,1099,4214,10722,207,367
10695125,121,1129,4260,1100,4226,10777,207,368
10706116,122,1146,4236,1116,4213,10757,207,369
10717121,123,1125,4207,1128,4258,10754,207,370
10728162,124,1128,4253,1127,4222,10789,225,372
10739185,125,1128,4213,1099,4210,10771,224,373
