t_us,seq,cost_a_avail,cost_a_read,cost_g_avail,cost_g_read,t_imu,t_serial,missed
9411523,163,715,8,684,8,6097,204,242
9413911,164,685,8,694,8,1476,229,242
9418909,165,686,2309,685,2324,1439,201,242
9425185,166,691,2285,727,2284,6044,204,242
9431511,167,686,9,722,9,6058,241,242
9433911,168,685,8,685,8,1495,201,242
9438907,169,686,2336,685,2327,1429,247,242
9445213,170,714,2299,684,2330,6075,205,242
9451514,171,687,9,684,8,6070,204,242
9453913,172,691,9,702,2286,1487,201,242
9458908,173,685,2342,685,8,3728,221,242
9463910,174,685,8,729,2284,3790,221,242
9468907,175,685,2339,685,9,3749,249,242
9473913,176,685,8,718,2285,3759,248,242
9478925,177,685,2321,685,8,3739,247,242
9483909,178,702,8,710,2304,3741,229,242
9488935,179,687,2311,685,9,3766,259,242
9493908,180,729,8,684,2330,3734,203,242
9498914,181,687,2284,727,8,3794,202,242
9503910,182,713,9,684,2300,3749,202,242
9508914,183,686,2303,698,8,3748,203,242
9513906,184,712,9,685,2336,3736,202,242
9518907,185,685,2325,684,9,3783,203,242
9523907,186,685,8,686,2341,3746,202,242
9528915,187,686,2326,684,9,3763,202,242
9533914,188,686,9,685,2315,3746,202,242
9538911,189,685,2350,685,8,3763,202,242
9543907,190,685,8,685,2347,3772,203,242
9548909,191,686,2348,685,8,3769,203,242
9553909,192,686,8,684,2287,3768,202,242
9558911,193,686,2324,686,8,3725,202,242
9563915,194,699,2306,685,2305,3747,220,242
9570212,195,715,9,685,9,6066,205,242
9573907,196,685,2326,685,2321,1487,219,242
9580199,197,715,9,685,9,6059,204,242
9583910,198,685,2320,685,2318,1458,238,242
9590191,199,686,8,702,8,6050,205,242
9593916,200,687,2307,685,2312,1447,229,242
9600199,201,715,8,685,9,6032,223,242
9603913,202,729,2284,703,2284,1487,201,242
9610234,203,685,9,685,8,6043,251,242
9613910,204,725,2285,724,2284,1458,201,242
9620243,205,685,8,714,8,6059,248,242
9623910,206,711,2286,684,2308,1457,201,242
9630173,207,686,8,684,9,6032,205,242
9633910,208,686,2288,684,2318,1485,200,242
9640159,209,734,9,684,9,6018,204,242
9643912,210,685,2300,685,2322,1476,200,242
9650179,211,717,9,685,9,6035,205,242
9653906,212,686,2307,684,2336,1460,201,242
9660192,213,742,8,684,8,6055,205,242
9663908,214,703,2317,698,2313,1487,201,242
9670213,215,714,9,686,25,6074,205,242
9673909,216,699,2300,699,2312,1477,201,242
9680193,217,716,9,685,9,6053,205,242
9683907,218,685,2322,684,2317,1487,219,242
9690190,219,714,9,685,8,6052,205,242
9693911,220,685,2302,684,2327,1458,237,242
9700183,221,715,9,685,9,6041,205,242
9703909,222,687,2307,685,2312,1476,228,242
9710191,223,714,9,685,8,6032,223,242
9713913,224,728,2284,729,2285,1485,200,242
9720259,225,714,36,691,8,6069,251,242
9723914,226,713,2284,726,2285,1491,201,242
9730239,227,685,9,713,8,6049,250,242
9733906,228,707,2285,684,2304,1458,201,242
9740160,229,743,8,684,9,6022,204,242
9743906,230,686,2289,685,2327,1486,201,242
9750164,231,733,9,684,8,6027,204,242
9753909,232,686,2331,685,2304,1476,200,242
9760187,233,759,8,684,8,6047,205,242
9763911,234,685,2316,685,2321,1503,201,242
9770192,235,686,9,685,8,6049,204,242
9773907,236,686,2327,686,2310,1429,200,242
9780207,237,686,9,686,9,6068,204,242
9783911,238,712,2304,699,2307,1459,217,242
9790207,239,685,8,684,36,6065,205,242
9793912,240,685,2313,684,2342,1486,219,242
9800211,241,715,9,685,9,6068,205,242
9803914,242,685,2294,685,2297,1458,238,242
9810183,243,717,9,702,9,6021,222,242
9813908,244,687,2312,689,2285,1477,228,242
9820199,245,714,9,687,9,6013,251,242
9823914,246,685,2285,716,2285,1487,200,242
9830193,247,714,9,720,9,6011,241,242
9833912,248,732,2284,682,2302,1493,201,242
9840214,249,731,9,683,8,6043,232,242
9843912,250,712,2286,684,2321,1473,201,242
9850187,251,743,9,684,9,6044,205,242
9853906,252,685,2363,685,2285,1486,200,242
9860197,253,727,8,684,9,6059,204,242
9863908,254,685,2337,685,2350,1469,200,242
9870237,255,754,8,684,9,6098,204,242
9873910,256,685,2348,685,2322,1497,200,242
9880223,257,685,8,685,9,6082,205,242
9883912,258,686,2325,685,2326,1459,200,242
9890208,259,685,8,686,8,6065,205,242
9893914,260,685,2349,707,2301,1460,219,242
9900231,261,715,9,685,35,6086,205,242
9903909,262,685,2342,685,2321,1487,220,242
9910214,263,714,8,685,8,6074,204,242
9913926,264,686,2297,684,2299,1459,237,242
9920200,265,686,8,701,8,6025,204,242
9923925,266,687,2307,685,2312,1476,229,242
9930207,267,714,9,685,9,6032,222,242
9933911,268,713,2285,694,2285,1485,200,242
9940196,269,685,9,720,8,6017,242,242
9943907,270,683,2302,682,2303,1493,200,242
9950209,271,702,9,695,9,6013,262,242
9953907,272,685,2309,684,2329,1455,201,242
9960189,273,687,9,684,9,6050,204,242
9963908,274,685,2308,684,2326,1486,200,242
9970186,275,733,8,685,9,6047,205,242
9973912,276,686,2329,684,2285,1476,201,242
9980170,277,714,8,684,8,6027,205,242
9983906,278,685,2324,685,2345,1488,201,242
9990219,279,735,8,684,8,6080,204,242
9993909,280,686,2316,686,2324,1479,201,242
10000195,281,716,9,686,9,6055,205,242
10003911,282,704,2311,712,2301,1460,220,242
10010212,283,685,8,684,8,6069,206,242
10013908,284,685,2328,685,2316,1486,220,242
