t_us,seq,ax,ay,az,gx,gy,gz,t_imu_us,t_serial_us,missed
17582343,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0
17587344,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,480,368,0
17592357,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,471,350,0
17597344,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,463,350,0
17602345,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,506,350,0
17607347,5,0.5918,0.4839,0.2515,0.0000,0.0000,0.0000,489,350,0
17612350,6,0.5840,0.4966,0.2544,0.0000,0.0000,0.0000,472,569,0
17617350,7,0.5728,0.5146,0.2520,0.0000,0.0000,0.0000,477,488,0
17622344,8,0.5615,0.5557,0.2432,0.0000,0.0000,0.0000,504,492,0
17627348,9,0.5615,0.5962,0.2319,-77.1484,-72.8149,60.1807,477,511,0
17632344,10,0.5669,0.6147,0.2285,-76.2939,-73.8525,59.6924,486,881,0
17637342,11,0.5698,0.6255,0.2397,-73.4253,-75.7446,58.8989,478,918,0
17642349,12,0.5659,0.6309,0.2754,-71.5332,-76.3550,58.4106,489,916,0
17647348,13,0.5640,0.6284,0.3223,-72.0215,-75.1953,59.5703,462,908,0
17652349,14,0.5684,0.6289,0.3594,-73.4253,-73.2422,62.3779,463,938,0
17657342,15,0.5728,0.6270,0.3706,-74.8291,-71.1670,65.6128,463,938,0
17662346,16,0.5737,0.6240,0.3867,-75.7446,-70.1294,68.0542,463,903,0
17667350,17,0.5918,0.6431,0.4165,-74.7070,-68.9087,67.9932,462,933,0
17672347,18,0.6250,0.6475,0.4434,-69.9463,-65.3687,65.1245,463,896,0
17677349,19,0.6558,0.6343,0.4580,-61.5845,-59.1431,60.9131,479,930,0
17682342,20,0.6777,0.6318,0.4468,-52.6123,-51.2695,57.3120,462,911,0
17687344,21,0.6704,0.6157,0.4346,-43.7622,-44.3115,53.9551,480,958,0
17692345,22,0.6333,0.6050,0.4248,-36.5601,-40.3442,50.3540,468,841,0
17697348,23,0.5918,0.6172,0.3940,-29.4189,-39.4897,47.4243,470,950,0
17702348,24,0.5630,0.6313,0.3594,-21.8506,-41.1987,44.5557,497,975,0
17707350,25,0.5425,0.6382,0.3345,-14.7095,-44.4946,41.6870,482,939,0
17712348,26,0.5215,0.6416,0.3276,-8.9722,-47.1191,39.3066,491,917,0
17717344,27,0.5049,0.6572,0.3213,-4.5166,-49.0723,37.1094,477,867,0
17722349,28,0.4917,0.6660,0.3105,-1.1597,-51.0254,34.7900,506,874,0
17727348,29,0.4722,0.6514,0.3013,1.3428,-53.5889,33.8135,476,889,0
17732344,30,0.4438,0.6172,0.2915,2.3193,-57.3730,35.7666,479,860,0
17737345,31,0.4062,0.6021,0.2871,2.0142,-62.4390,42.1753,470,875,0
17742350,32,0.3921,0.6128,0.2769,2.5635,-68.1763,50.6592,490,993,0
17747346,33,0.4043,0.6431,0.2275,4.8218,-73.1812,57.6782,463,887,0
17752350,34,0.3892,0.6694,0.1758,7.6904,-78.9795,62.1948,463,894,0
17757343,35,0.3794,0.7305,0.1675,10.2539,-85.4492,63.4155,463,929,0
17762348,36,0.3711,0.7798,0.2065,14.3433,-91.6138,62.8662,462,951,0
17767342,37,0.3633,0.8091,0.2681,19.7754,-96.6186,60.7300,463,949,0
17772348,38,0.3931,0.8428,0.3242,26.0620,-98.6328,57.9834,462,933,0
17777348,39,0.4424,0.8589,0.3887,31.1279,-97.4121,55.6030,462,919,0
17782342,40,0.4648,0.8579,0.4673,33.1421,-93.4448,52.5513,462,949,0
17787350,41,0.4917,0.8486,0.5356,33.0811,-87.2192,49.0723,480,946,0
17792365,42,0.5293,0.8252,0.5830,31.9214,-79.7119,47.1191,464,933,0
17797349,43,0.5430,0.7993,0.6265,29.0527,-73.0591,45.9595,470,913,0
17802343,44,0.5415,0.7817,0.6641,25.0854,-67.1387,44.5557,492,975,0
17807347,45,0.5381,0.7842,0.6636,20.2026,-61.3403,44.0674,480,934,0
17812345,46,0.5430,0.7861,0.6162,16.7236,-57.5561,43.6401,504,903,0
17817342,47,0.5298,0.7676,0.5562,15.5029,-57.3120,42.7856,488,857,0
17822343,48,0.4966,0.7598,0.5142,15.7471,-59.3872,42.6636,493,828,0
17827350,49,0.4697,0.7563,0.4814,18.0054,-61.9507,44.4336,485,890,0
17832350,50,0.4067,0.7280,0.4546,21.8506,-66.1621,48.2178,481,904,0
17837349,51,0.3486,0.6982,0.4346,26.6724,-72.2046,51.6357,489,913,0
17842350,52,0.3052,0.6816,0.4062,32.5928,-79.7119,54.9316,476,887,0
17847350,53,0.2690,0.6768,0.3682,39.0015,-87.9517,56.5186,490,935,0
17852347,54,0.2271,0.6558,0.3545,46.0205,-96.6797,56.3965,462,907,0
17857346,55,0.1899,0.6660,0.3701,50.9644,-105.6518,53.5889,463,944,0
17862343,56,0.1719,0.7080,0.3657,54.9927,-114.7461,47.6685,462,925,0
17867346,57,0.1826,0.7402,0.3481,60.6079,-122.1924,40.0391,462,922,0
17872361,58,0.2104,0.7935,0.3530,65.3076,-127.5024,33.2642,462,944,0
17877348,59,0.2134,0.8628,0.4111,68.9087,-130.6152,26.4893,463,914,0
17882347,60,0.2485,0.9219,0.4912,71.1060,-129.6387,19.2261,479,910,0
17887351,61,0.3066,0.9424,0.5269,73.4863,-125.1831,12.5122,474,901,0
17892343,62,0.3403,0.9302,0.5420,73.7305,-119.1406,7.0190,463,910,0
17897368,63,0.3511,0.9399,0.5908,69.5190,-112.4878,4.2725,475,922,0
17902343,64,0.3521,0.9346,0.6514,64.2090,-105.2246,3.9062,478,942,0
17907347,65,0.3525,0.9097,0.6899,58.1665,-97.5952,5.3711,465,884,0
17912344,66,0.3345,0.8877,0.6978,50.7202,-91.2476,9.0942,492,933,0
17917343,67,0.3174,0.8716,0.6934,43.6401,-85.9985,14.5264,476,825,0
17922350,68,0.3335,0.8628,0.6851,38.3301,-81.4209,21.2402,498,912,0
