t_us, seq, ax, ay, az, gx, gy, gz, valid, t_imu_us, t_serial_us, missed
49451758,7850,-0.0259,-0.0342,1.0225,0.6714,0.3052,-0.1831,1,466,876,230
49456758,7851,-0.0259,-0.0332,1.0239,0.4272,0.1831,-0.2441,1,466,870,230
49461755,7852,-0.0254,-0.0322,1.0234,-0.0610,0.1831,-0.2441,1,465,883,230
49466759,7853,-0.0249,-0.0327,1.0215,-0.3052,0.1221,-0.0610,1,484,869,230
49471760,7854,-0.0254,-0.0352,1.0210,-0.3662,0.0610,-0.2441,1,466,896,230
49476760,7855,-0.0259,-0.0376,1.0205,0.0000,0.3052,-0.3052,1,470,939,230
49481758,7856,-0.0269,-0.0381,1.0215,0.3662,0.3662,-0.1831,1,472,819,230
49486761,7857,-0.0283,-0.0381,1.0210,0.6104,0.2441,-0.1831,1,479,866,230
49491758,7858,-0.0293,-0.0371,1.0200,0.7324,0.1221,0.0000,1,475,871,230
49496759,7859,-0.0298,-0.0361,1.0190,0.7324,0.2441,-0.0610,1,466,737,230
49501756,7860,-0.0293,-0.0371,1.0181,0.9155,-0.0610,-0.2441,1,494,858,230
49506759,7861,-0.0273,-0.0386,1.0190,1.6479,-0.0610,-0.1831,1,511,781,230
49511757,7862,-0.0269,-0.0366,1.0215,2.1973,0.1221,-0.1831,1,492,871,230
49516757,7863,-0.0269,-0.0347,1.0234,1.7090,0.0610,-0.3052,1,478,848,230
49521758,7864,-0.0278,-0.0352,1.0229,2.3193,-0.0610,-0.1221,1,486,840,230
49526763,7865,-0.0288,-0.0361,1.0205,2.6855,0.1221,-0.1831,1,491,870,230
49531754,7866,-0.0288,-0.0366,1.0190,2.9907,-0.1221,-0.1831,1,473,853,230
49536755,7867,-0.0283,-0.0361,1.0190,3.3569,0.1221,-0.1831,1,476,851,230
49541759,7868,-0.0273,-0.0352,1.0205,3.5400,0.1221,-0.3052,1,493,854,230
49546759,7869,-0.0269,-0.0332,1.0229,3.1128,0.2441,-0.3052,1,466,869,230
49551758,7870,-0.0264,-0.0298,1.0259,2.4414,0.3662,-0.4883,1,466,879,230
49556758,7871,-0.0259,-0.0269,1.0269,0.9155,0.4883,-0.6714,1,466,878,230
49561760,7872,-0.0259,-0.0278,1.0249,-0.9155,0.1221,-0.1831,1,466,872,230
49566755,7873,-0.0254,-0.0293,1.0254,-1.3428,0.5493,-0.3052,1,483,879,230
49571759,7874,-0.0244,-0.0298,1.0259,-1.8921,0.6714,-0.4272,1,465,861,230
49576759,7875,-0.0249,-0.0312,1.0249,-2.6245,0.1831,-0.1831,1,484,863,230
49581755,7876,-0.0249,-0.0347,1.0229,-2.8076,0.0610,-0.1831,1,465,855,230
49586760,7877,-0.0249,-0.0356,1.0210,-1.9531,0.2441,-0.0610,1,469,956,230
49591758,7878,-0.0273,-0.0347,1.0195,-1.7700,0.3662,-0.3052,1,467,877,230
49596760,7879,-0.0269,-0.0361,1.0190,-1.3428,-0.1831,0.0000,1,472,873,230
49601758,7880,-0.0249,-0.0371,1.0195,-0.6104,0.1221,0.1221,1,495,815,230
49606762,7881,-0.0244,-0.0352,1.0210,0.3662,0.3662,-0.0610,1,480,852,230
49611759,7882,-0.0249,-0.0332,1.0225,0.1221,0.2441,0.0000,1,498,854,230
49616758,7883,-0.0254,-0.0332,1.0244,0.1831,0.0000,-0.0610,1,465,802,230
49621762,7884,-0.0254,-0.0332,1.0239,-0.0610,0.2441,-0.3662,1,489,803,230
49626756,7885,-0.0264,-0.0342,1.0220,0.1221,0.0610,-0.1831,1,492,852,230
49631758,7886,-0.0278,-0.0386,1.0195,0.7324,0.4272,-0.4272,1,483,841,230
49636762,7887,-0.0278,-0.0415,1.0181,2.3193,0.8545,-0.4883,1,476,853,230
49641762,7888,-0.0273,-0.0352,1.0195,3.7231,0.7324,-0.3662,1,480,848,230
49646761,7889,-0.0259,-0.0337,1.0190,3.2959,0.7324,-0.4272,1,482,855,230
49651759,7890,-0.0249,-0.0347,1.0166,3.8452,0.7935,-0.4272,1,493,850,230
49656757,7891,-0.0264,-0.0356,1.0161,5.0049,0.9766,-0.3662,1,466,882,230
49661754,7892,-0.0278,-0.0347,1.0190,5.7983,1.0986,0.0000,1,466,876,230
49666766,7893,-0.0288,-0.0322,1.0220,6.0425,0.7324,0.2441,1,466,835,230
49671762,7894,-0.0288,-0.0303,1.0220,6.0425,0.3052,0.2441,1,466,880,230
49676758,7895,-0.0283,-0.0298,1.0205,6.1646,0.2441,0.4883,1,483,872,230
49681757,7896,-0.0283,-0.0308,1.0200,6.2866,0.2441,0.6104,1,468,866,230
49686756,7897,-0.0293,-0.0312,1.0200,6.2256,0.1831,0.5493,1,484,864,230
49691760,7898,-0.0283,-0.0283,1.0229,5.4932,-0.1221,0.7324,1,474,900,230
49696762,7899,-0.0283,-0.0229,1.0278,4.0283,-0.7935,1.0376,1,472,953,230
49701757,7900,-0.0288,-0.0181,1.0298,1.4038,-1.7090,1.0986,1,472,877,230
49706759,7901,-0.0288,-0.0190,1.0293,-1.3428,-2.3804,1.0986,1,481,873,230
49711759,7902,-0.0264,-0.0273,1.0239,-2.6855,-2.3804,0.7935,1,477,831,230
49716754,7903,-0.0229,-0.0386,1.0146,-0.7324,-1.0986,0.6104,1,466,861,230
49721755,7904,-0.0225,-0.0439,1.0098,3.7842,0.0610,1.0376,1,508,812,230
49726755,7905,-0.0244,-0.0376,1.0161,7.2021,0.5493,0.9766,1,473,850,230
49731763,7906,-0.0259,-0.0264,1.0273,7.1411,0.3052,0.7935,1,481,860,230
49736762,7907,-0.0269,-0.0186,1.0317,4.6387,0.4883,0.7324,1,490,846,230
49741759,7908,-0.0273,-0.0176,1.0293,2.2583,0.1831,0.5493,1,478,847,230
49746754,7909,-0.0273,-0.0210,1.0249,1.0376,0.1831,0.1221,1,487,853,230
49751759,7910,-0.0269,-0.0244,1.0225,0.4272,0.1831,0.0000,1,476,845,230
49756762,7911,-0.0249,-0.0249,1.0225,-0.0610,0.0610,0.0000,1,493,802,230
49761761,7912,-0.0249,-0.0259,1.0229,-0.3052,0.0610,-0.1221,1,466,828,230
49766759,7913,-0.0249,-0.0273,1.0225,-0.0610,0.1221,-0.3052,1,465,869,230
49771762,7914,-0.0254,-0.0278,1.0215,0.3662,0.1831,-0.2441,1,466,871,230
49776778,7915,-0.0264,-0.0278,1.0205,0.7935,0.1831,-0.1831,1,466,880,230
49781761,7916,-0.0264,-0.0278,1.0195,1.1597,0.1221,0.0610,1,466,880,230
49786763,7917,-0.0269,-0.0269,1.0195,1.2207,0.2441,0.0000,1,484,872,230
49791759,7918,-0.0269,-0.0249,1.0215,0.9155,0.1221,0.0610,1,472,775,230
49796758,7919,-0.0273,-0.0249,1.0239,0.0000,-0.1221,-0.1831,1,465,869,230
49801760,7920,-0.0269,-0.0259,1.0229,-0.7935,-0.1831,-0.3052,1,465,824,230
49806758,7921,-0.0264,-0.0264,1.0200,-0.8545,-0.3052,-0.3052,1,465,864,230
49811763,7922,-0.0254,-0.0283,1.0181,0.0000,-0.1831,-0.3052,1,470,855,230
49816760,7923,-0.0249,-0.0293,1.0190,0.9766,0.0000,-0.0610,1,469,806,230
49821754,7924,-0.0244,-0.0283,1.0220,1.6479,0.1831,-0.0610,1,499,807,230
49826756,7925,-0.0249,-0.0254,1.0249,1.3428,0.1831,-0.1221,1,480,860,230
49831761,7926,-0.0254,-0.0225,1.0244,0.4272,-0.1221,-0.0610,1,484,779,230
