t_us, seq, ax, ay, az, gx, gy, gz, valid, t_imu_us, t_serial_us, missed
9101756,10,-0.0220,-0.0186,1.0234,-0.1221,-0.1221,-0.0610,1,483,830,0
9106757,11,-0.0225,-0.0181,1.0239,-0.2441,-0.0610,-0.1831,1,491,836,0
9111756,12,-0.0220,-0.0171,1.0225,-0.3052,-0.1221,-0.3662,1,466,843,0
9116756,13,-0.0215,-0.0176,1.0210,-0.3052,-0.1221,-0.3052,1,466,862,0
9121755,14,-0.0210,-0.0195,1.0210,-0.2441,-0.0610,-0.2441,1,483,857,0
9126758,15,-0.0195,-0.0210,1.0220,-0.2441,0.1831,-0.0610,1,465,870,0
9131762,16,-0.0190,-0.0205,1.0234,0.0000,0.1221,0.0610,1,484,861,0
9136754,17,-0.0195,-0.0186,1.0229,-0.0610,0.1831,-0.0610,1,465,895,0
9141760,18,-0.0205,-0.0176,1.0215,-0.1221,0.3052,-0.1831,1,479,930,0
9146759,19,-0.0225,-0.0186,1.0205,0.0000,0.2441,-0.1831,1,472,856,0
9151757,20,-0.0234,-0.0195,1.0205,0.0610,0.3052,-0.1221,1,474,825,0
9156762,21,-0.0234,-0.0195,1.0210,0.2441,0.3052,-0.1831,1,477,862,0
9161761,22,-0.0234,-0.0186,1.0220,0.2441,0.3052,-0.2441,1,477,852,0
9166760,23,-0.0220,-0.0176,1.0229,0.1221,0.3662,-0.2441,1,477,851,0
9171758,24,-0.0200,-0.0171,1.0229,0.0610,0.5493,-0.2441,1,484,853,0
9176755,25,-0.0205,-0.0171,1.0215,0.0000,0.4272,-0.2441,1,466,870,0
9181761,26,-0.0210,-0.0186,1.0205,0.0610,0.2441,0.0000,1,494,745,0
9186756,27,-0.0200,-0.0195,1.0220,0.0610,0.1831,-0.1831,1,466,803,0
9191762,28,-0.0200,-0.0195,1.0225,0.0610,0.3052,-0.1221,1,489,852,0
9196759,29,-0.0220,-0.0190,1.0205,0.1221,0.3052,-0.1221,1,488,832,0
9201756,30,-0.0229,-0.0181,1.0195,0.1221,0.1831,-0.1221,1,473,853,0
9206754,31,-0.0229,-0.0195,1.0200,0.0610,0.4272,-0.1831,1,481,839,0
9211755,32,-0.0229,-0.0195,1.0205,0.1221,0.3662,-0.0610,1,490,844,0
9216761,33,-0.0229,-0.0186,1.0200,0.1831,0.3052,0.0000,1,488,842,0
9221757,34,-0.0225,-0.0181,1.0200,0.1831,0.3052,-0.1221,1,493,793,0
9226759,35,-0.0229,-0.0181,1.0215,-0.0610,0.1831,-0.0610,1,466,859,0
9231756,36,-0.0229,-0.0190,1.0215,-0.0610,0.3662,-0.1221,1,465,865,0
9236762,37,-0.0225,-0.0190,1.0205,-0.0610,0.3052,-0.1221,1,465,868,0
9241756,38,-0.0225,-0.0195,1.0205,-0.2441,0.0000,0.0610,1,478,851,0
9246756,39,-0.0229,-0.0205,1.0210,-0.3052,0.1831,-0.0610,1,465,891,0
9251757,40,-0.0244,-0.0200,1.0200,-0.1221,0.2441,-0.1221,1,474,930,0
9256757,41,-0.0249,-0.0181,1.0190,-0.2441,0.3052,-0.0610,1,475,855,0
9261760,42,-0.0239,-0.0181,1.0210,-0.3662,0.1831,0.0610,1,481,857,0
9266754,43,-0.0239,-0.0190,1.0225,-0.3662,0.1831,-0.1221,1,483,867,0
9271762,44,-0.0229,-0.0195,1.0220,-0.3052,0.3052,-0.1221,1,470,855,0
9276759,45,-0.0220,-0.0190,1.0210,-0.3662,0.3052,-0.1221,1,481,844,0
