stance_start_idx,stance_end_idx,source_file
3112,3162,data/measured_walks/initial_walk_test_10-08-2026_16-31-45_3.csv
3340,3403,data/measured_walks/initial_walk_test_10-08-2026_16-31-45_3.csv
3569,3632,data/measured_walks/initial_walk_test_10-08-2026_16-31-45_3.csv
3789,3859,data/measured_walks/initial_walk_test_10-08-2026_16-31-45_3.csv
4018,4079,data/measured_walks/initial_walk_test_10-08-2026_16-31-45_3.csv
4242,4304,data/measured_walks/initial_walk_test_10-08-2026_16-31-45_3.csv
4458,4519,data/measured_walks/initial_walk_test_10-08-2026_16-31-45_3.csv
4674,4741,data/measured_walks/initial_walk_test_10-08-2026_16-31-45_3.csv
4899,4943,data/measured_walks/initial_walk_test_10-08-2026_16-31-45_3.csv
5123,5172,data/measured_walks/initial_walk_test_10-08-2026_16-31-45_3.csv
