stance_start_idx,stance_end_idx,source_file
6054,6103,data/measured_walks/initial_walk_test_10-08-2026_16-38-16_long_walk.csv
6265,6322,data/measured_walks/initial_walk_test_10-08-2026_16-38-16_long_walk.csv
6493,6548,data/measured_walks/initial_walk_test_10-08-2026_16-38-16_long_walk.csv
6716,6772,data/measured_walks/initial_walk_test_10-08-2026_16-38-16_long_walk.csv
6934,6981,data/measured_walks/initial_walk_test_10-08-2026_16-38-16_long_walk.csv
7168,7219,data/measured_walks/initial_walk_test_10-08-2026_16-38-16_long_walk.csv
7392,7441,data/measured_walks/initial_walk_test_10-08-2026_16-38-16_long_walk.csv
7611,7673,data/measured_walks/initial_walk_test_10-08-2026_16-38-16_long_walk.csv
7845,7899,data/measured_walks/initial_walk_test_10-08-2026_16-38-16_long_walk.csv
8065,8114,data/measured_walks/initial_walk_test_10-08-2026_16-38-16_long_walk.csv
8278,8336,data/measured_walks/initial_walk_test_10-08-2026_16-38-16_long_walk.csv
8510,8561,data/measured_walks/initial_walk_test_10-08-2026_16-38-16_long_walk.csv
8728,8779,data/measured_walks/initial_walk_test_10-08-2026_16-38-16_long_walk.csv
8955,9001,data/measured_walks/initial_walk_test_10-08-2026_16-38-16_long_walk.csv
9171,9220,data/measured_walks/initial_walk_test_10-08-2026_16-38-16_long_walk.csv
9391,9454,data/measured_walks/initial_walk_test_10-08-2026_16-38-16_long_walk.csv
9610,9674,data/measured_walks/initial_walk_test_10-08-2026_16-38-16_long_walk.csv
9838,9895,data/measured_walks/initial_walk_test_10-08-2026_16-38-16_long_walk.csv
10062,10115,data/measured_walks/initial_walk_test_10-08-2026_16-38-16_long_walk.csv
10281,10339,data/measured_walks/initial_walk_test_10-08-2026_16-38-16_long_walk.csv
