Sequence,X_Position_m,Y_Position_m,Missed_Ticks
0,0.0,0.0,0
2,0.054,0.001,1
3,0.012999999999999998,0.008,1
4,0.008999999999999998,-0.037,1
5,0.008999999999999998,-0.032,1
6,-0.49,0.176,1
7,-1.8719999999999999,-0.07300000000000001,1
8,-3.312,-0.319,1
9,-4.712,-0.488,1
10,-5.590999999999999,0.399,1
11,-5.451999999999999,1.6260000000000001,1
12,-4.691999999999999,2.4080000000000004,1
13,-3.3599999999999994,2.5160000000000005,1
14,-2.1559999999999997,1.9280000000000004,1
15,-1.5109999999999997,0.7060000000000004,1
16,-1.1219999999999997,-0.6059999999999997,1
17,-1.1999999999999997,-1.2079999999999997,1
18,-0.7809999999999997,-1.2059999999999997,1
19,-0.7809999999999997,-1.1949999999999998,1
20,-0.3889999999999997,-1.2019999999999997,1
21,-0.3909999999999997,-1.1889999999999998,1
22,0.7600000000000003,-1.823,1
23,1.5940000000000003,-2.793,1
24,2.1130000000000004,-4.173,1
25,2.6100000000000003,-5.413,1
26,2.9890000000000003,-6.814,1
27,3.8590000000000004,-7.774,1
28,5.157,-7.725,2
29,6.014,-6.505,2
30,6.0840000000000005,-5.151,2
31,6.188000000000001,-3.8709999999999996,2
32,6.192,-2.4479999999999995,2
33,5.775,-1.0579999999999996,2
34,4.722,-0.3009999999999996,2
35,3.4670000000000005,-0.1449999999999996,2
36,2.162000000000001,-0.1589999999999996,2
37,0.8040000000000007,-0.1809999999999996,2
38,-0.40799999999999925,-0.2479999999999996,2
39,-1.1109999999999993,-0.7309999999999997,2
