Sequence,X_Position_m,Y_Position_m,Missed_Ticks
0,0.0,0.0,0
3,0.242,0.143,14
4,-0.197,0.09899999999999999,14
5,0.35800000000000004,0.211,14
6,0.36000000000000004,0.19999999999999998,14
7,1.04,0.312,14
8,1.0190000000000001,0.3,14
9,0.09800000000000009,-0.10799999999999998,14
10,-0.22899999999999993,-0.15399999999999997,14
11,0.18900000000000006,-0.11799999999999997,14
12,0.18900000000000006,-0.12199999999999997,14
13,-0.5209999999999999,1.1680000000000001,14
14,-1.2159999999999997,2.47,14
15,-2.0189999999999997,3.7780000000000005,14
16,-2.9819999999999998,4.73,14
17,-4.425,5.189,14
18,-5.757,4.824,14
19,-6.965,4.194,14
20,-8.068,3.55,14
21,-9.174999999999999,2.796,14
22,-10.325,2.018,14
23,-11.61,1.1679999999999997,14
24,-12.815,0.34999999999999976,14
25,-14.008,-0.3520000000000002,14
26,-15.241,-1.1950000000000003,14
27,-16.353,-2.0280000000000005,14
28,-16.82,-3.2900000000000005,14
29,-16.82,-3.2900000000000005,14
30,-16.186,-4.647,14
31,-15.428,-5.720000000000001,14
32,-14.670000000000002,-6.925000000000001,14
33,-13.933000000000002,-8.102,14
34,-13.129000000000001,-9.136000000000001,14
35,-12.026000000000002,-10.097000000000001,14
36,-10.668000000000001,-10.324000000000002,14
37,-9.458000000000002,-9.761000000000001,14
38,-8.364000000000003,-8.903,14
39,-7.1990000000000025,-8.093,14
40,-6.140000000000002,-7.243,14
41,-5.051000000000002,-6.362,14
42,-3.8870000000000022,-5.492,14
43,-2.7130000000000023,-4.502,14
44,-1.5760000000000023,-3.5519999999999996,14
45,-0.4380000000000024,-2.5669999999999997,14
46,0.47899999999999765,-1.5869999999999997,14
47,0.8519999999999976,-0.31899999999999973,14
48,-0.03500000000000236,0.7960000000000003,14
49,-0.7310000000000023,1.1590000000000003,14
